CeremonyID,AwardCategory,AwardWinner,Film,FilmID,Person,PersonID,AwardType
001-1929,"Best Picture, Production",Winner,Wings,tt0018578,NA,NA,Picture
001-1929,"Best Picture, Production",NA,7th Heaven,tt0018379,NA,NA,Picture
001-1929,"Best Picture, Production",NA,The Racket,tt0019304,NA,NA,Picture
001-1929,"Best Picture, Unique and Artistic Production",Winner,Sunrise,tt0018455,NA,NA,Picture
001-1929,"Best Picture, Unique and Artistic Production",NA,Chang: A Drama of the Wilderness,tt0017743,NA,NA,Picture
001-1929,"Best Picture, Unique and Artistic Production",NA,The Crowd,tt0018806,NA,NA,Picture
001-1929,"Best Director, Comedy Picture",Winner,Two Arabian Knights,tt0018515,Lewis Milestone,nm0587277,Director
001-1929,"Best Director, Comedy Picture",NA,Speedy,tt0019412,Ted Wilde,nm0928514,Director
001-1929,"Best Director, Dramatic Picture",Winner,7th Heaven,tt0018379,Frank Borzage,nm0097648,Director
001-1929,"Best Director, Dramatic Picture",NA,Sorrell and Son,tt0018429,Herbert Brenon,nm0107543,Director
001-1929,"Best Director, Dramatic Picture",NA,The Crowd,tt0018806,King Vidor,nm0896542,Director
001-1929,"Best Writing, Original Story",Winner,Underworld,tt0018526,Ben Hecht,nm0372942,Writing
001-1929,"Best Writing, Original Story",NA,The Last Command,tt0019071,Lajos Biró,nm0083742,Writing
001-1929,"Best Writing, Adaptation",Winner,7th Heaven,tt0018379,Benjamin Glazer,nm0322227,Writing
001-1929,"Best Writing, Adaptation",NA,Glorious Betsy,tt0018945,Anthony Coldeway,nm0170401,Writing
001-1929,"Best Writing, Adaptation",NA,The Jazz Singer,tt0018037,Alfred A. Cohn,nm0169879,Writing
001-1929,Best Actress in a Leading Role,Winner,7th Heaven,tt0018379,Janet Gaynor,nm0310980,Performance
001-1929,Best Actress in a Leading Role,Winner,Street Angel,tt0019429,Janet Gaynor,nm0310980,Performance
001-1929,Best Actress in a Leading Role,Winner,Sunrise,tt0018455,Janet Gaynor,nm0310980,Performance
001-1929,Best Actress in a Leading Role,NA,A Ship Comes In,tt0018389,Louise Dresser,nm0237571,Performance
001-1929,Best Actress in a Leading Role,NA,Sadie Thompson,tt0019344,Gloria Swanson,nm0841797,Performance
001-1929,Best Actor in a Leading Role,Winner,The Last Command,tt0019071,Emil Jannings,nm0417837,Performance
001-1929,Best Actor in a Leading Role,Winner,The Way of All Flesh,tt0019553,Emil Jannings,nm0417837,Performance
001-1929,Best Actor in a Leading Role,NA,The Noose,tt0019217,Richard Barthelmess,nm0001932,Performance
001-1929,Best Actor in a Leading Role,NA,The Patent Leather Kid,tt0018253,Richard Barthelmess,nm0001932,Performance
001-1929,Best Cinematography,Winner,Sunrise,tt0018455,Charles Rosher,nm0003546,Visual Style
001-1929,Best Cinematography,Winner,Sunrise,tt0018455,Karl Struss,nm0835365,Visual Style
001-1929,Best Cinematography,NA,Sadie Thompson,tt0019344,George Barnes,nm0055604,Visual Style
001-1929,Best Cinematography,NA,The Devil Dancer,tt0017806,George Barnes,nm0055604,Visual Style
001-1929,Best Cinematography,NA,The Magic Flame,tt0018129,George Barnes,nm0055604,Visual Style
001-1929,Best Art Direction,Winner,Tempest,tt0019451,William Cameron Menzies,nm0580017,Visual Style
001-1929,Best Art Direction,Winner,The Dove,tt0017822,William Cameron Menzies,nm0580017,Visual Style
001-1929,Best Art Direction,NA,7th Heaven,tt0018379,Harry Oliver,nm0646856,Visual Style
001-1929,Best Art Direction,NA,Sunrise,tt0018455,Rochus Gliese,nm0322843,Visual Style
001-1929,"Best Effects, Engineering Effects",Winner,Wings,tt0018578,Roy Pomeroy,nm0690120,Effects
001-1929,"Best Effects, Engineering Effects",NA,NA,NA,Nugent Slaughter,nm0805521,Effects
001-1929,"Best Effects, Engineering Effects",NA,NA,NA,Ralph Hammeras,nm0358518,Effects
001-1929,"Best Writing, Title Writing",Winner,NA,NA,Joseph Farnham,nm0267868,Visual Style
001-1929,"Best Writing, Title Writing",NA,The Private Life of Helen of Troy,tt0017979,Gerald C. Duffy,nm0240534,Visual Style
001-1929,"Best Writing, Title Writing",NA,NA,NA,George Marion Jr.,nm0547938,Visual Style
002-1930,Best Picture,Winner,The Broadway Melody,tt0019729,NA,NA,Picture
002-1930,Best Picture,NA,Alibi,tt0019630,NA,NA,Picture
002-1930,Best Picture,NA,In Old Arizona,tt0020018,NA,NA,Picture
002-1930,Best Picture,NA,The Hollywood Revue of 1929,tt0019993,NA,NA,Picture
002-1930,Best Picture,NA,The Patriot,tt0019257,NA,NA,Picture
002-1930,Best Director,Winner,The Divine Lady,tt0019824,Frank Lloyd,nm0515979,Director
002-1930,Best Director,NA,Drag,tt0019833,Frank Lloyd,nm0515979,Director
002-1930,Best Director,NA,In Old Arizona,tt0020018,Irving Cummings,nm0191899,Director
002-1930,Best Director,NA,Madame X,tt0020126,Lionel Barrymore,nm0000859,Director
002-1930,Best Director,NA,The Broadway Melody,tt0019729,Harry Beaumont,nm0064600,Director
002-1930,Best Director,NA,The Patriot,tt0019257,Ernst Lubitsch,nm0523932,Director
002-1930,Best Director,NA,Weary River,tt0019557,Frank Lloyd,nm0515979,Director
002-1930,"Best Writing, Achievement",Winner,The Patriot,tt0019257,Hanns Kräly,nm0473134,Writing
002-1930,"Best Writing, Achievement",NA,A Woman of Affairs,tt0019591,Bess Meredyth,nm0580648,Writing
002-1930,"Best Writing, Achievement",NA,In Old Arizona,tt0020018,Tom Barry,nm0058179,Writing
002-1930,"Best Writing, Achievement",NA,Our Dancing Daughters,tt0019237,Josephine Lovett,nm0522674,Writing
002-1930,"Best Writing, Achievement",NA,Sal of Singapore,tt0019348,Elliott J. Clawson,nm0165470,Writing
002-1930,"Best Writing, Achievement",NA,Skyscraper,tt0019398,Elliott J. Clawson,nm0165470,Writing
002-1930,"Best Writing, Achievement",NA,The Cop,tt0018792,Elliott J. Clawson,nm0165470,Writing
002-1930,"Best Writing, Achievement",NA,The Last of Mrs. Cheyney,tt0020081,Hanns Kräly,nm0473134,Writing
002-1930,"Best Writing, Achievement",NA,The Leatherneck,tt0020088,Elliott J. Clawson,nm0165470,Writing
002-1930,"Best Writing, Achievement",NA,The Valiant,tt0020543,Tom Barry,nm0058179,Writing
002-1930,"Best Writing, Achievement",NA,Wonder of Women,tt0020603,Bess Meredyth,nm0580648,Writing
002-1930,Best Actress in a Leading Role,Winner,Coquette,tt0019788,Mary Pickford,nm0681933,Performance
002-1930,Best Actress in a Leading Role,NA,Madame X,tt0020126,Ruth Chatterton,nm0154183,Performance
002-1930,Best Actress in a Leading Role,NA,The Barker,tt0018674,Betty Compson,nm0173993,Performance
002-1930,Best Actress in a Leading Role,NA,The Broadway Melody,tt0019729,Bessie Love,nm0522281,Performance
002-1930,Best Actress in a Leading Role,NA,The Divine Lady,tt0019824,Corinne Griffith,nm0341464,Performance
002-1930,Best Actress in a Leading Role,NA,The Letter,tt0020092,Jeanne Eagels,nm0247074,Performance
002-1930,Best Actor in a Leading Role,Winner,In Old Arizona,tt0020018,Warner Baxter,nm0062828,Performance
002-1930,Best Actor in a Leading Role,NA,Alibi,tt0019630,Chester Morris,nm0606431,Performance
002-1930,Best Actor in a Leading Role,NA,The Patriot,tt0019257,Lewis Stone,nm0832011,Performance
002-1930,Best Actor in a Leading Role,NA,The Valiant,tt0020543,Paul Muni,nm0612847,Performance
002-1930,Best Actor in a Leading Role,NA,Thunderbolt,tt0020499,George Bancroft,nm0051628,Performance
002-1930,Best Cinematography,Winner,White Shadows in the South Seas,tt0019574,Clyde De Vinna,nm0005682,Visual Style
002-1930,Best Cinematography,NA,4 Devils,tt0018907,Ernest Palmer,nm0005823,Visual Style
002-1930,Best Cinematography,NA,In Old Arizona,tt0020018,Arthur Edeson,nm0249186,Visual Style
002-1930,Best Cinematography,NA,Our Dancing Daughters,tt0019237,George Barnes,nm0055604,Visual Style
002-1930,Best Cinematography,NA,Street Angel,tt0019429,Ernest Palmer,nm0005823,Visual Style
002-1930,Best Cinematography,NA,The Divine Lady,tt0019824,John F. Seitz,nm0005870,Visual Style
002-1930,Best Art Direction,Winner,The Bridge of San Luis Rey,tt0019722,Cedric Gibbons,nm0316539,Visual Style
002-1930,Best Art Direction,NA,Alibi,tt0019630,William Cameron Menzies,nm0580017,Visual Style
002-1930,Best Art Direction,NA,Dynamite,tt0019843,Mitchell Leisen,nm0500552,Visual Style
002-1930,Best Art Direction,NA,Street Angel,tt0019429,Harry Oliver,nm0646856,Visual Style
002-1930,Best Art Direction,NA,The Awakening,tt0018666,William Cameron Menzies,nm0580017,Visual Style
002-1930,Best Art Direction,NA,The Patriot,tt0019257,Hans Dreier,nm0237417,Visual Style
003-1930,Best Picture,Winner,All Quiet on the Western Front,tt0020629,NA,NA,Picture
003-1930,Best Picture,NA,Disraeli,tt0019823,NA,NA,Picture
003-1930,Best Picture,NA,The Big House,tt0020686,NA,NA,Picture
003-1930,Best Picture,NA,The Divorcee,tt0020827,NA,NA,Picture
003-1930,Best Picture,NA,The Love Parade,tt0020112,NA,NA,Picture
003-1930,Best Director,Winner,All Quiet on the Western Front,tt0020629,Lewis Milestone,nm0587277,Director
003-1930,Best Director,NA,Anna Christie,tt0020641,Clarence Brown,nm0113284,Director
003-1930,Best Director,NA,Hallelujah,tt0019959,King Vidor,nm0896542,Director
003-1930,Best Director,NA,Romance,tt0021310,Clarence Brown,nm0113284,Director
003-1930,Best Director,NA,The Divorcee,tt0020827,Robert Z. Leonard,nm0502752,Director
003-1930,Best Director,NA,The Love Parade,tt0020112,Ernst Lubitsch,nm0523932,Director
003-1930,"Best Writing, Achievement",Winner,The Big House,tt0020686,Frances Marion,nm0547966,Writing
003-1930,"Best Writing, Achievement",NA,All Quiet on the Western Front,tt0020629,Del Andrews,nm0028636,Writing
003-1930,"Best Writing, Achievement",NA,All Quiet on the Western Front,tt0020629,George Abbott,nm0007973,Writing
003-1930,"Best Writing, Achievement",NA,All Quiet on the Western Front,tt0020629,Maxwell Anderson,nm0027173,Writing
003-1930,"Best Writing, Achievement",NA,Disraeli,tt0019823,Julien Josephson,nm0430756,Writing
003-1930,"Best Writing, Achievement",NA,Street of Chance,tt0021420,Howard Estabrook,nm0261455,Writing
003-1930,"Best Writing, Achievement",NA,The Divorcee,tt0020827,John Meehan,nm0576046,Writing
003-1930,Best Actress in a Leading Role,Winner,The Divorcee,tt0020827,Norma Shearer,nm0790454,Performance
003-1930,Best Actress in a Leading Role,NA,Anna Christie,tt0020641,Greta Garbo,nm0001256,Performance
003-1930,Best Actress in a Leading Role,NA,Romance,tt0021310,Greta Garbo,nm0001256,Performance
003-1930,Best Actress in a Leading Role,NA,Sarah and Son,tt0021335,Ruth Chatterton,nm0154183,Performance
003-1930,Best Actress in a Leading Role,NA,The Devil's Holiday,tt0020823,Nancy Carroll,nm0007216,Performance
003-1930,Best Actress in a Leading Role,NA,The Trespasser,tt0020514,Gloria Swanson,nm0841797,Performance
003-1930,Best Actress in a Leading Role,NA,Their Own Desire,tt0020488,Norma Shearer,nm0790454,Performance
003-1930,Best Actor in a Leading Role,Winner,Disraeli,tt0019823,George Arliss,nm0002183,Performance
003-1930,Best Actor in a Leading Role,NA,Bulldog Drummond,tt0019735,Ronald Colman,nm0172903,Performance
003-1930,Best Actor in a Leading Role,NA,Condemned!,tt0019785,Ronald Colman,nm0172903,Performance
003-1930,Best Actor in a Leading Role,NA,The Big House,tt0020686,Wallace Beery,nm0000891,Performance
003-1930,Best Actor in a Leading Role,NA,The Big Pond,tt0020690,Maurice Chevalier,nm0002001,Performance
003-1930,Best Actor in a Leading Role,NA,The Green Goddess,tt0020938,George Arliss,nm0002183,Performance
003-1930,Best Actor in a Leading Role,NA,The Love Parade,tt0020112,Maurice Chevalier,nm0002001,Performance
003-1930,Best Actor in a Leading Role,NA,The Rogue Song,tt0021307,Lawrence Tibbett,nm0862546,Performance
003-1930,Best Cinematography,Winner,With Byrd at the South Pole,tt0020594,Joseph T. Rucker,nm0748530,Visual Style
003-1930,Best Cinematography,Winner,With Byrd at the South Pole,tt0020594,Willard Van der Veer,nm0886447,Visual Style
003-1930,Best Cinematography,NA,All Quiet on the Western Front,tt0020629,Arthur Edeson,nm0249186,Visual Style
003-1930,Best Cinematography,NA,Anna Christie,tt0020641,William H. Daniels,nm0200125,Visual Style
003-1930,Best Cinematography,NA,Hell's Angels,tt0020960,Harry Perry,nm0675091,Visual Style
003-1930,Best Cinematography,NA,Hell's Angels,tt0020960,Tony Gaudio,nm0309974,Visual Style
003-1930,Best Cinematography,NA,The Love Parade,tt0020112,Victor Milner,nm0005800,Visual Style
003-1930,Best Art Direction,Winner,King of Jazz,tt0021025,Herman Rosse,nm0743983,Visual Style
003-1930,Best Art Direction,NA,Bulldog Drummond,tt0019735,William Cameron Menzies,nm0580017,Visual Style
003-1930,Best Art Direction,NA,Sally,tt0020358,Jack Okey,nm0645605,Visual Style
003-1930,Best Art Direction,NA,The Love Parade,tt0020112,Hans Dreier,nm0237417,Visual Style
003-1930,Best Art Direction,NA,The Vagabond King,tt0021511,Hans Dreier,nm0237417,Visual Style
003-1930,"Best Sound, Recording",Winner,The Big House,tt0020686,Douglas Shearer,nm0790428,Effects
003-1930,"Best Sound, Recording",NA,Raffles,tt0021281,Oscar Lagerstrom,nm0481264,Effects
003-1930,"Best Sound, Recording",NA,The Case of Sergeant Grischa,tt0020744,John E. Tribby,nm0872569,Effects
003-1930,"Best Sound, Recording",NA,The Love Parade,tt0020112,Franklin Hansen,nm0360630,Effects
003-1930,"Best Sound, Recording",NA,The Song of the Flame,tt0021404,George Groves,nm0344060,Effects
004-1931,Best Picture,Winner,Cimarron,tt0021746,NA,NA,Picture
004-1931,Best Picture,NA,East Lynne,tt0021826,NA,NA,Picture
004-1931,Best Picture,NA,Skippy,tt0022397,NA,NA,Picture
004-1931,Best Picture,NA,The Front Page,tt0021890,NA,NA,Picture
004-1931,Best Picture,NA,Trader Horn,tt0022495,NA,NA,Picture
004-1931,Best Director,Winner,Skippy,tt0022397,Norman Taurog,nm0851537,Director
004-1931,Best Director,NA,A Free Soul,tt0021885,Clarence Brown,nm0113284,Director
004-1931,Best Director,NA,Cimarron,tt0021746,Wesley Ruggles,nm0749484,Director
004-1931,Best Director,NA,Morocco,tt0021156,Josef von Sternberg,nm0903049,Director
004-1931,Best Director,NA,The Front Page,tt0021890,Lewis Milestone,nm0587277,Director
004-1931,"Best Writing, Original Story",Winner,The Dawn Patrol,tt0020815,John Monk Saunders,nm0766850,Writing
004-1931,"Best Writing, Original Story",NA,Laughter,tt0021053,Donald Ogden Stewart,nm0829330,Writing
004-1931,"Best Writing, Original Story",NA,Laughter,tt0021053,Douglas Z. Doty,nm0234608,Writing
004-1931,"Best Writing, Original Story",NA,Laughter,tt0021053,Harry d'Abbadie d'Arrast,nm0195496,Writing
004-1931,"Best Writing, Original Story",NA,Smart Money,tt0022403,Joseph Jackson,nm0413711,Writing
004-1931,"Best Writing, Original Story",NA,Smart Money,tt0022403,Lucien Hubbard,nm0399203,Writing
004-1931,"Best Writing, Original Story",NA,The Doorway to Hell,tt0020836,Rowland Brown,nm0114602,Writing
004-1931,"Best Writing, Original Story",NA,The Public Enemy,tt0022286,John Bright,nm0109148,Writing
004-1931,"Best Writing, Original Story",NA,The Public Enemy,tt0022286,Kubec Glasmon,nm0321891,Writing
004-1931,"Best Writing, Adaptation",Winner,Cimarron,tt0021746,Howard Estabrook,nm0261455,Writing
004-1931,"Best Writing, Adaptation",NA,Holiday,tt0020985,Horace Jackson,nm0413590,Writing
004-1931,"Best Writing, Adaptation",NA,Little Caesar,tt0021079,Francis Edward Faragoh,nm0267020,Writing
004-1931,"Best Writing, Adaptation",NA,Little Caesar,tt0021079,Robert N. Lee,nm0498133,Writing
004-1931,"Best Writing, Adaptation",NA,Skippy,tt0022397,Joseph L. Mankiewicz,nm0000581,Writing
004-1931,"Best Writing, Adaptation",NA,Skippy,tt0022397,Sam Mintz,nm0591791,Writing
004-1931,"Best Writing, Adaptation",NA,The Criminal Code,tt0021770,Fred Niblo Jr.,nm0629240,Writing
004-1931,"Best Writing, Adaptation",NA,The Criminal Code,tt0021770,Seton I. Miller,nm0589316,Writing
004-1931,Best Actress in a Leading Role,Winner,Min and Bill,tt0021148,Marie Dressler,nm0237597,Performance
004-1931,Best Actress in a Leading Role,NA,A Free Soul,tt0021885,Norma Shearer,nm0790454,Performance
004-1931,Best Actress in a Leading Role,NA,Cimarron,tt0021746,Irene Dunne,nm0002050,Performance
004-1931,Best Actress in a Leading Role,NA,Holiday,tt0020985,Ann Harding,nm0362267,Performance
004-1931,Best Actress in a Leading Role,NA,Morocco,tt0021156,Marlene Dietrich,nm0000017,Performance
004-1931,Best Actor in a Leading Role,Winner,A Free Soul,tt0021885,Lionel Barrymore,nm0000859,Performance
004-1931,Best Actor in a Leading Role,NA,Cimarron,tt0021746,Richard Dix,nm0228715,Performance
004-1931,Best Actor in a Leading Role,NA,Skippy,tt0022397,Jackie Cooper,nm0178114,Performance
004-1931,Best Actor in a Leading Role,NA,The Front Page,tt0021890,Adolphe Menjou,nm0579663,Performance
004-1931,Best Actor in a Leading Role,NA,The Royal Family of Broadway,tt0021322,Fredric March,nm0545298,Performance
004-1931,Best Cinematography,Winner,Tabu: A Story of the South Seas,tt0022458,Floyd Crosby,nm0005677,Visual Style
004-1931,Best Cinematography,NA,Cimarron,tt0021746,Edward Cronjager,nm0005676,Visual Style
004-1931,Best Cinematography,NA,Morocco,tt0021156,Lee Garmes,nm0005716,Visual Style
004-1931,Best Cinematography,NA,Svengali,tt0022454,Barney McGill,nm0569222,Visual Style
004-1931,Best Cinematography,NA,The Right to Love,tt0021301,Charles Lang,nm0485702,Visual Style
004-1931,Best Art Direction,Winner,Cimarron,tt0021746,Max Rée,nm0753663,Visual Style
004-1931,Best Art Direction,NA,Just Imagine,tt0021016,Ralph Hammeras,nm0358518,Visual Style
004-1931,Best Art Direction,NA,Just Imagine,tt0021016,Stephen Goosson,nm0329684,Visual Style
004-1931,Best Art Direction,NA,Morocco,tt0021156,Hans Dreier,nm0237417,Visual Style
004-1931,Best Art Direction,NA,Svengali,tt0022454,Anton Grot,nm0343819,Visual Style
004-1931,Best Art Direction,NA,Whoopee!,tt0021549,Richard Day,nm0206554,Visual Style
004-1931,"Best Sound, Recording",Winner,NA,NA,NA,NA,Effects
004-1931,"Best Sound, Recording",NA,NA,NA,NA,NA,Effects
004-1931,"Best Sound, Recording",NA,NA,NA,NA,NA,Effects
004-1931,"Best Sound, Recording",NA,NA,NA,NA,NA,Effects
005-1932,Best Picture,Winner,Grand Hotel,tt0022958,NA,NA,Picture
005-1932,Best Picture,NA,Arrowsmith,tt0021622,NA,NA,Picture
005-1932,Best Picture,NA,Bad Girl,tt0021635,NA,NA,Picture
005-1932,Best Picture,NA,Five Star Final,tt0021873,NA,NA,Picture
005-1932,Best Picture,NA,One Hour with You,tt0023303,NA,NA,Picture
005-1932,Best Picture,NA,Shanghai Express,tt0023458,NA,NA,Picture
005-1932,Best Picture,NA,The Champ,tt0021730,NA,NA,Picture
005-1932,Best Picture,NA,The Smiling Lieutenant,tt0022074,NA,NA,Picture
005-1932,Best Director,Winner,Bad Girl,tt0021635,Frank Borzage,nm0097648,Director
005-1932,Best Director,NA,Shanghai Express,tt0023458,Josef von Sternberg,nm0903049,Director
005-1932,Best Director,NA,The Champ,tt0021730,King Vidor,nm0896542,Director
005-1932,"Best Writing, Original Story",Winner,The Champ,tt0021730,Frances Marion,nm0547966,Writing
005-1932,"Best Writing, Original Story",NA,Lady and Gent,tt0023109,Grover Jones,nm0428177,Writing
005-1932,"Best Writing, Original Story",NA,Lady and Gent,tt0023109,William Slavens McNutt,nm0574112,Writing
005-1932,"Best Writing, Original Story",NA,The Star Witness,tt0022430,Lucien Hubbard,nm0399203,Writing
005-1932,"Best Writing, Original Story",NA,What Price Hollywood?,tt0023686,Adela Rogers St. Johns,nm0820700,Writing
005-1932,"Best Writing, Original Story",NA,What Price Hollywood?,tt0023686,Jane Murfin,nm0613848,Writing
005-1932,"Best Writing, Adaptation",Winner,Bad Girl,tt0021635,Edwin J. Burke,nm0121667,Writing
005-1932,"Best Writing, Adaptation",NA,Arrowsmith,tt0021622,Sidney Howard,nm0397608,Writing
005-1932,"Best Writing, Adaptation",NA,Dr. Jekyll and Mr. Hyde,tt0022835,Percy Heath,nm0372698,Writing
005-1932,"Best Writing, Adaptation",NA,Dr. Jekyll and Mr. Hyde,tt0022835,Samuel Hoffenstein,nm0388755,Writing
005-1932,Best Actress in a Leading Role,Winner,The Sin of Madelon Claudet,tt0022386,Helen Hayes,nm0371040,Performance
005-1932,Best Actress in a Leading Role,NA,Emma,tt0022854,Marie Dressler,nm0237597,Performance
005-1932,Best Actress in a Leading Role,NA,The Guardsman,tt0021931,Lynn Fontanne,nm0285007,Performance
005-1932,Best Actor in a Leading Role,Winner,Dr. Jekyll and Mr. Hyde,tt0022835,Fredric March,nm0545298,Performance
005-1932,Best Actor in a Leading Role,Winner,The Champ,tt0021730,Wallace Beery,nm0000891,Performance
005-1932,Best Actor in a Leading Role,NA,The Guardsman,tt0021931,Alfred Lunt,nm0526795,Performance
005-1932,Best Cinematography,Winner,Shanghai Express,tt0023458,Lee Garmes,nm0005716,Visual Style
005-1932,Best Cinematography,NA,Arrowsmith,tt0021622,Ray June,nm0432482,Visual Style
005-1932,Best Cinematography,NA,Dr. Jekyll and Mr. Hyde,tt0022835,Karl Struss,nm0835365,Visual Style
005-1932,Best Art Direction,Winner,Transatlantic,tt0022500,Gordon Wiles,nm0928781,Visual Style
005-1932,Best Art Direction,NA,Arrowsmith,tt0021622,Richard Day,nm0206554,Visual Style
005-1932,Best Art Direction,NA,Freedom for Us,tt0022599,Lazare Meerson,nm0576226,Visual Style
005-1932,"Best Sound, Recording",Winner,NA,NA,NA,NA,Effects
005-1932,"Best Sound, Recording",NA,NA,NA,NA,NA,Effects
005-1932,"Best Sound, Recording",NA,NA,NA,NA,NA,Effects
005-1932,"Best Sound, Recording",NA,NA,NA,NA,NA,Effects
005-1932,"Best Short Subject, Comedy",Winner,The Music Box,tt0023251,Hal Roach,nm0730018,Short
005-1932,"Best Short Subject, Comedy",NA,Scratch-As-Catch-Can,tt0276472,NA,NA,Short
005-1932,"Best Short Subject, Comedy",NA,Stout Hearts and Willing Hands,tt0023517,NA,NA,Short
005-1932,"Best Short Subject, Comedy",NA,The Loud Mouth,tt0023152,Mack Sennett,nm0784407,Short
005-1932,"Best Short Subject, Novelty",Winner,Wrestling Swordfish,tt0023711,Mack Sennett,nm0784407,Short
005-1932,"Best Short Subject, Novelty",NA,Screen Souvenirs,tt0023441,NA,NA,Short
005-1932,"Best Short Subject, Novelty",NA,Swing High,tt0152771,NA,NA,Short
005-1932,"Best Short Subject, Cartoons",Winner,Flowers and Trees,tt0022899,Walt Disney,nm0000370,Short
005-1932,"Best Short Subject, Cartoons",NA,It's Got Me Again!,tt0023067,Leon Schlesinger,nm0772266,Short
005-1932,"Best Short Subject, Cartoons",NA,Mickey's Orphans,tt0022147,Walt Disney,nm0000370,Short
006-1933,Best Picture,Winner,Cavalcade,tt0023876,NA,NA,Picture
006-1933,Best Picture,NA,42nd Street,tt0024034,NA,NA,Picture
006-1933,Best Picture,NA,A Farewell to Arms,tt0022879,NA,NA,Picture
006-1933,Best Picture,NA,I Am a Fugitive from a Chain Gang,tt0023042,NA,NA,Picture
006-1933,Best Picture,NA,Lady for a Day,tt0024240,NA,NA,Picture
006-1933,Best Picture,NA,Little Women,tt0024264,NA,NA,Picture
006-1933,Best Picture,NA,She Done Him Wrong,tt0024548,NA,NA,Picture
006-1933,Best Picture,NA,Smilin' Through,tt0023488,NA,NA,Picture
