"TheatreID","SessionID","ScreenTitle","ScreenTrailer","ScreenPoster","ScreenDate","ScreenTimestamp","ScreenTime","ScreenTicketLink","ScreenGenre","ScreenRuntime","ScreenTheatre"
"f-0100004165","37507","A MALE","https://www.youtube.com/watch?v=qktaV-nr55s","//silver.afi.com/CDN/media/entity/get/FilmPosterGraphic/f-0100004165?width=121&height=180&referenceScheme=Global&allowPlaceHolder=true","Sunday, October 01, 2023","2023-10-01T20:50:00","08:50 PM","//silver.afi.com/Ticketing/visSelectTickets.aspx?cinemacode=1001&txtSessionId=37507&visLang=1","Drama","82 Minutes","AFI - AFI Silver 1"
"f-0100004165","37508","A MALE","https://www.youtube.com/watch?v=qktaV-nr55s","//silver.afi.com/CDN/media/entity/get/FilmPosterGraphic/f-0100004165?width=121&height=180&referenceScheme=Global&allowPlaceHolder=true","Sunday, October 01, 2023","2023-10-02T17:10:00","05:10 PM","//silver.afi.com/Ticketing/visSelectTickets.aspx?cinemacode=1001&txtSessionId=37508&visLang=1","Drama","82 Minutes","AFI - AFI Silver 1"
"f-0100004126","37005","AMADEUS","https://www.youtube.com/watch?v=_R4fbdzzXok","//silver.afi.com/CDN/media/entity/get/FilmPosterGraphic/f-0100004126?width=121&height=180&referenceScheme=Global&allowPlaceHolder=true","Sunday, September 03, 2023","2023-09-03T13:00:00","01:00 PM","//silver.afi.com/Ticketing/visSelectTickets.aspx?cinemacode=1001&txtSessionId=37005&visLang=1","Biography - music","160 Minutes","AFI - AFI Silver 1"
"f-0100004183","37500","BABYGIRL (2023)","https://www.youtube.com/watch?v=qQOu6fS-lRE","//silver.afi.com/CDN/media/entity/get/FilmPosterGraphic/f-0100004183?width=121&height=180&referenceScheme=Global&allowPlaceHolder=true","Sunday, October 01, 2023","2023-10-01T12:30:00","12:30 PM","//silver.afi.com/Ticketing/visSelectTickets.aspx?cinemacode=1001&txtSessionId=37500&visLang=1","Drama","90 Minutes","AFI - AFI Silver 1"
"f-0100004183","37501","BABYGIRL (2023)","https://www.youtube.com/watch?v=qQOu6fS-lRE","//silver.afi.com/CDN/media/entity/get/FilmPosterGraphic/f-0100004183?width=121&height=180&referenceScheme=Global&allowPlaceHolder=true","Sunday, October 01, 2023","2023-10-05T17:00:00","05:00 PM","//silver.afi.com/Ticketing/visSelectTickets.aspx?cinemacode=1001&txtSessionId=37501&visLang=1","Drama","90 Minutes","AFI - AFI Silver 1"
"f-0100000072","36985","BATMAN (1989)","https://www.youtube.com/watch?v=ftNOhfNjXjk","//silver.afi.com/CDN/media/entity/get/FilmPosterGraphic/f-0100000072?width=121&height=180&referenceScheme=Global&allowPlaceHolder=true","Monday, August 28, 2023","2023-08-28T18:45:00","06:45 PM","//silver.afi.com/Ticketing/visSelectTickets.aspx?cinemacode=1001&txtSessionId=36985&visLang=1","Action adventure","126 Minutes","AFI - AFI Silver 3"
"f-0100004123","36976","BEETLEJUICE","https://www.youtube.com/watch?v=GuyNP-XyFHs","//silver.afi.com/CDN/media/entity/get/FilmPosterGraphic/f-0100004123?width=121&height=180&referenceScheme=Global&allowPlaceHolder=true","Tuesday, August 29, 2023","2023-08-29T12:00:00","12:00 PM","//silver.afi.com/Ticketing/visSelectTickets.aspx?cinemacode=1001&txtSessionId=36976&visLang=1","Comedy","92 Minutes","AFI - AFI Silver 2"
"f-0100004123","36977","BEETLEJUICE","https://www.youtube.com/watch?v=GuyNP-XyFHs","//silver.afi.com/CDN/media/entity/get/FilmPosterGraphic/f-0100004123?width=121&height=180&referenceScheme=Global&allowPlaceHolder=true","Tuesday, August 29, 2023","2023-08-30T19:00:00","07:00 PM","//silver.afi.com/Ticketing/visSelectTickets.aspx?cinemacode=1001&txtSessionId=36977&visLang=1","Comedy","92 Minutes","AFI - AFI Silver 2"
"f-0100004123","36978","BEETLEJUICE","https://www.youtube.com/watch?v=GuyNP-XyFHs","//silver.afi.com/CDN/media/entity/get/FilmPosterGraphic/f-0100004123?width=121&height=180&referenceScheme=Global&allowPlaceHolder=true","Tuesday, August 29, 2023","2023-08-31T12:00:00","12:00 PM","//silver.afi.com/Ticketing/visSelectTickets.aspx?cinemacode=1001&txtSessionId=36978&visLang=1","Comedy","92 Minutes","AFI - AFI Silver 2"
"f-0100000044","36567","BOOGIE NIGHTS in 70mm","https://www.youtube.com/watch?v=-7-JVbUtyoI","//silver.afi.com/CDN/media/entity/get/FilmPosterGraphic/f-0100000044?width=121&height=180&referenceScheme=Global&allowPlaceHolder=true","Saturday, September 16, 2023","2023-09-16T14:00:00","02:00 PM","//silver.afi.com/Ticketing/visSelectTickets.aspx?cinemacode=1001&txtSessionId=36567&visLang=1","Drama","155 Minutes","AFI - AFI Silver 1"
