"TheatreID","Title","IMDB"
"f-0100003734","""A Christmas Carol: A Ghost Story""",""
"f-0100003740",".DOG (2021)",""
"f-0100003759","AISHA (2022)",""
"f-0100003774","ALCARRÀS",""
"f-0100003785","ALL THAT BREATHES",""
"f-0100003788","ALMA VIVA",""
"f-0100003752","AXIOM (2022)",""
"f-0100003720","BANSHEES OF INISHERIN, THE",""
"f-0100003794","BARDO, FALSE CHRONICLE OF A HANDFUL OF TRUTHS",""
"f-0100003775","BEASTS, THE (2022)",""
"f-0100002593","CABARET (1972)",""
"f-0100003787","CAIRO CONSPIRACY aka BOY FROM HEAVEN",""
"f-0100003766","CARMEN (2021)",""
"f-0100003762","CHIARA (2022)",""
"f-0100003797","CHUNKY SHRAPNEL",""
"f-0100003792","CLOSE (2022)",""
"f-0100003750","CONFERENCE, THE (2022)",""
"f-0100003736","CORSAGE",""
"f-0100002037","Count Gore De Vol presents THE SHINING",""
"f-0100000065","E.T. THE EXTRA-TERRESTRIAL",""
"f-0100003776","EMIGRANTS, THE (2021)",""
"f-0100003768","EO",""
"f-0100003789","FIVE DEVILS, THE",""
"f-0100003749","FORGER, THE (2022)",""
"f-0100003757","GENTLE (2022)",""
"f-0100003743","GIRL PICTURE",""
"f-0100003741","GODLAND",""
"f-0100003795","GUILLERMO DEL TORO'S PINOCCHIO",""
"f-0100003728","HEAT (1995)",""
"f-0100003786","HOLY SPIDER",""
"f-0100003756","I LOVE GREECE",""
"f-0100003738","IN THE HEART OF THE MACHINE",""
"f-0100003751","INSIDE THE UFFIZI",""
"f-0100003763","JANUARY (2022)",""
"f-0100003742","KALEV",""
"f-0100001686","KING OF COMEDY, THE",""
"f-0100003761","LORD OF THE ANTS",""
"f-0100003755","MAGNETIC FIELDS (2021)",""
"f-0100003769","METRONOM",""
"f-0100003747","MOTHER AND SON (2022)",""
"f-0100003790","NIGHT OF THE 12TH, THE",""
"f-0100003771","NIGHTSIREN",""
"f-0100003783","OINK",""
"f-0100003746","ONE FINE MORNING (2022)",""
"f-0100003773","ORCHESTRA",""
"f-0100003777","ORDINARY FAILURES",""
"f-0100003779","ORIGIN OF EVIL, THE",""
"f-0100003764","PILGRIMS (2021)",""
"f-0100003767","PINK MOON",""
"f-0100003782","PUPILS, THE",""
"f-0100003758","QUIET GIRL, THE",""
"f-0100003770","R.M.N.",""
"f-0100003791","REBEL (2022)",""
"f-0100000032","RESERVOIR DOGS",""
"f-0100003780","REVOIR PARIS",""
"f-0100003737","RIMINI",""
"f-0100003778","RODEO (2022)",""
"f-0100003739","SAFE PLACE (2022)",""
"f-0100003745","SAINT OMER",""
"f-0100003732","SECRET OF NIMH, THE",""
"f-0100003760","SMALL BODY",""
"f-0100003754","TALKING ABOUT THE WEATHER",""
"f-0100003694","TÁR",""
"f-0100003729","THIEF (1981)",""
"f-0100003772","VICTIM (2022)",""
"f-0100003765","WAY TO HAPPINESS, THE (2021)",""
"f-0100003753","WE MIGHT AS WELL BE DEAD",""
"f-0100003784","WILL-O'-THE-WISP (2022)",""
"f-0100000421","WIZARD OF OZ, THE (1939)",""
"f-0100003744","WOODCUTTER STORY, THE",""
