"QID","Const","Ceremony","SubmissionCountry","SubmissionTitle","Languages","Directors","Result","Result2","Your.Rating","Date.Rated","Title","Original.Title","Title.Type","IMDb.Rating","Runtime","Year","Num.Votes","Seen"
"Q18402","tt0047528","29-1957","Italy","La Strada","Italian","Federico Fellini","Won Academy Award","A",7,"2023-06-17","The Road","La strada","Movie",8,108,1956,66863,"Yes"
"Q1403033","tt0048523","29-1957","Denmark","Qivitoq","Danish, Greenlandic","Erik Balling","Nominated","B",NA,"","Qivitoq","Qivitoq","Movie",6.7,119,1956,314,"No"
"Q225553","tt0049259","29-1957","France","Gervaise","French","René Clément","Nominated","B",NA,"","Gervaise","Gervaise","Movie",7.4,116,1956,1661,"No"
"Q1631964","tt0049012","29-1957","Japan","The Burmese Harp","Japanese, English, Burmese","Kon Ichikawa","Nominated","B",NA,"","The Burmese Harp","Biruma no tategoto","Movie",8,116,1956,6551,"No"
"Q320219","tt0049293","29-1957","West Germany","The Captain of Köpenick","German","Helmut Käutner","Nominated","B",NA,"","The Captain from Köpenick","Der Hauptmann von Köpenick","Movie",7.2,93,1956,1930,"No"
"Q5097886","tt0372761","29-1957","Philippines","Child of Sorrow","Tagalog, Filipino, English","Lamberto V. Avellana","Not nominated","E",NA,"","Child of Sorrow","Anak dalita","Movie",6.8,119,1956,76,"No"
"Q4690792","tt0048697","29-1957","Spain","Afternoon of the Bulls","Spanish","Ladislao Vajda","Not nominated","E",NA,"","Tarde de toros","Tarde de toros","Movie",6.4,75,1956,167,"No"
"Q7766164","tt0049659","29-1957","Sweden","The Staffan Stolle Story","Swedish","Hasse Ekman","Not nominated","E",NA,"","Ratataa eller The Staffan Stolle Story","Ratataa eller The Staffan Stolle Story","Movie",6.3,107,1956,208,"No"
"Q18405","tt0050783","30-1958","Italy","Nights of Cabiria","Italian","Federico Fellini","Won Academy Award","A",8,"2022-06-26","Nights of Cabiria","Le notti di Cabiria","Movie",8.1,110,1957,52166,"Yes"
"Q1005620","tt0050850","30-1958","France","Gates of Paris","French","René Clair","Nominated","B",NA,"","The Gates of Paris","Porte des Lilas","Movie",7.1,106,1957,773,"No"
"Q1411238","tt0050188","30-1958","India","Mother India","Hindi","Mehboob Khan","Nominated","B",NA,"","Mother India","Mother India","Movie",7.8,172,1957,9890,"No"
"Q1402615","tt0050762","30-1958","Norway","Nine Lives","Norwegian","Arne Skouen","Nominated","B",NA,"","Nine Lives","Ni liv","Movie",7.2,96,1957,1904,"No"
"Q551992","tt0050746","30-1958","West Germany","The Devil Strikes at Night","German","Robert Siodmak","Nominated","B",NA,"","The Devil Strikes at Night","Nachts wenn der Teufel kam","Movie",7.2,97,1957,1593,"No"
"Q4875485","tt0050542","30-1958","Denmark","No Time for Tenderness","Danish","Annelise Hovmand","Not nominated","E",NA,"","Ingen tid til kærtegn","Ingen tid til kærtegn","Movie",6.4,101,1957,76,"No"
"Q3209935","tt0263656","30-1958","Greece","The Lagoon of Desire","Greek","Giorgos Zervos","Not nominated","E",NA,"","Lagoon of Desire","I limni ton pothon","Movie",6.1,98,1957,52,"No"
"Q3549482","tt0050136","30-1958","Japan","Arakure","Japanese","Mikio Naruse","Not nominated","E",NA,"","Untamed Woman","Arakure","Movie",7.4,121,1957,273,"No"
"Q3532275","tt0051099","30-1958","Mexico","Torero!","Spanish","Carlos Velo","Not nominated","E",NA,"","Torero","Torero","Movie",6.5,75,1956,128,"No"
"Q1996776","tt0049043","30-1958","Spain","High Street","Spanish","Juan Antonio Bardem","Not nominated","E",NA,"","Main Street","Calle Mayor","Movie",7.7,99,1956,1670,"No"
"Q217189","tt0050976","30-1958","Sweden","The Seventh Seal","Swedish, Latin","Ingmar Bergman","Not nominated","E",7,"2022-04-05","The Seventh Seal","Det sjunde inseglet","Movie",8.1,96,1958,199828,"Yes"
"Q122479902","tt3281142","30-1958","Taiwan","Amina","Mandarin Chinese","Yuan Congmei","Not nominated","E",NA,"","Amina","Amina","Movie",NA,90,1957,0,"No"
"Q1346590","tt0050706","31-1959","France","Mon Oncle","French","Jacques Tati","Won Academy Award","A",7,"2021-07-14","My Uncle","Mon oncle","Movie",7.7,116,1958,24372,"Yes"
"Q1233716","tt0052216","31-1959","Italy","Big Deal on Madonna Street","Italian","Mario Monicelli","Nominated","B",NA,"","Big Deal on Madonna Street","I soliti ignoti","Movie",7.9,106,1958,11598,"No"
"Q568720","tt0051155","31-1959","Spain","La Venganza","Spanish","Juan Antonio Bardem","Nominated","B",NA,"","Vengeance","La venganza","Movie",6.9,122,1958,372,"No"
"Q316324","tt0051712","31-1959","West Germany","Arms and the Man","German","Franz Peter Wirth","Nominated","B",NA,"","Arms and the Man","Helden","Movie",6.1,96,1958,204,"No"
"Q1632165","tt0052250","31-1959","Yugoslavia","The Road a Year Long","Italian","Giuseppe De Santis","Nominated","B",NA,"","The Year Long Road","La strada lunga un anno","Movie",6.8,162,1958,184,"No"
"Q12314576","tt0050464","31-1959","Denmark","Dollars from the Sky","Danish","Gabriel Axel","Not nominated","E",NA,"","The Girls Are Willing","Guld og grønne skove","Movie",5.1,89,1958,88,"No"
"Q3764866","tt0050665","31-1959","India","Madhumati","Hindi","Bimal Roy","Not nominated","E",NA,"","Madhumati","Madhumati","Movie",7.8,110,1958,1597,"No"
"Q2480468","tt0051980","31-1959","Japan","Ballad of Narayama","Japanese","Keisuke Kinoshita","Not nominated","E",NA,"","The Ballad of Narayama","Narayama bushikô","Movie",7.8,98,1958,3816,"No"
"Q1078890","tt0051365","31-1959","Sweden","The Magician","Swedish","Ingmar Bergman","Not nominated","E",6,"2023-05-10","The Magician","Ansiktet","Movie",7.6,101,1959,11026,"Yes"
"Q765535","tt0051390","31-1959","United Arab Republic","Cairo Station","Egyptian Arabic","Youssef Chahine","Not nominated","E",NA,"","Cairo Station","Bab el hadid","Movie",7.5,77,1958,5401,"No"
"Q538266","tt0053146","32-1960","France","Black Orpheus","Brazilian Portuguese","Marcel Camus","Won Academy Award","A",7,"2023-09-18","Black Orpheus","Orfeu Negro","Movie",7.4,100,1959,12339,"Yes"
"Q1632262","tt0053158","32-1960","Denmark","Paw","Danish","Astrid Henning-Jensen","Nominated","B",NA,"","Boy of Two Worlds","Paw","Movie",6.3,93,1959,184,"No"
"Q150867","tt0052861","32-1960","Italy","The Great War","Italian","Mario Monicelli","Nominated","B",NA,"","The Great War","La grande guerra","Movie",8.1,137,1959,4640,"No"
"Q1402422","tt0051552","32-1960","Netherlands","The Village on the River","Dutch","Fons Rademakers","Nominated","B",NA,"","Village by the River","Dorp aan de rivier","Movie",6.7,92,1958,434,"No"
"Q509003","tt0052654","32-1960","West Germany","The Bridge","German, English","Bernhard Wicki","Nominated","B",9,"2024-05-12","The Bridge","Die Brücke","Movie",8,103,1961,8712,"Yes"
"Q5466677","tt0194573","32-1960","Hong Kong","For Better, for Worse","Mandarin","Yueh Feng","Not nominated","E",NA,"","Yu guo tian qing","Yu guo tian qing","Movie",5.7,88,1959,9,"No"
"Q622376","tt0052572","32-1960","India","The World of Apu","Bengali","Satyajit Ray","Not nominated","E",9,"2023-08-28","The World of Apu","Apur Sansar","Movie",8.4,105,1960,16904,"Yes"
"Q2718554","tt0053121","32-1960","Japan","Fires on the Plain","Japanese","Kon Ichikawa","Not nominated","E",NA,"","Fires on the Plain","Nobi","Movie",7.9,108,1959,5356,"No"
