"ReviewLink","ReviewTitle","Const","Your.Rating","Date.Rated","Title","Original.Title","Title.Type","IMDb.Rating","Runtime","Year","Num.Votes","Decade","Seen"
"https://www.rogerebert.com/reviews/great-movie-the-fall-of-the-house-of-usher-1928","The Fall of the House of Usher","tt0018770",8,"2021-07-09","The Fall of the House of Usher","La chute de la maison Usher","Movie",7.3,72,1928,4548,"1920s","Yes"
"https://www.rogerebert.com/reviews/great-movie-cabiria-1914","Cabiria","tt0003740",NA,"","Cabiria","Cabiria","Movie",7.1,148,1914,3989,"1910s","No"
"https://www.rogerebert.com/reviews/great-movie-the-birth-of-a-nation-1915","The Birth of a Nation","tt0004972",NA,"","The Birth of a Nation","The Birth of a Nation","Movie",6.1,195,1915,26462,"1910s","No"
"https://www.rogerebert.com/reviews/great-movie-broken-blossoms-1919","Broken Blossoms","tt0009968",NA,"","Broken Blossoms","Broken Blossoms or The Yellow Man and the Girl","Movie",7.2,90,1919,11116,"1910s","No"
"https://www.rogerebert.com/reviews/great-movie-the-cabinet-of-dr-caligari-1920","The Cabinet of Dr. Caligari","tt0010323",9,"2021-07-11","The Cabinet of Dr. Caligari","Das Cabinet des Dr. Caligari","Movie",8,67,1920,70524,"1920s","Yes"
"https://www.rogerebert.com/reviews/great-movie-nanook-of-the-north-1922","Nanook of the North","tt0013427",7,"2021-09-17","Nanook of the North","Nanook of the North","Movie",7.6,78,1922,13539,"1920s","Yes"
"https://www.rogerebert.com/reviews/great-movie-nosferatu-1922","Nosferatu","tt0013442",8,"2021-09-17","Nosferatu","Nosferatu, eine Symphonie des Grauens","Movie",7.9,94,1922,106209,"1920s","Yes"
"https://www.rogerebert.com/reviews/great-movie-safety-last-1923","Safety Last","tt0014429",8,"2023-09-20","Safety Last!","Safety Last!","Movie",8.1,74,1923,23085,"1920s","Yes"
"https://www.rogerebert.com/reviews/souls-for-sale-1923","Souls For Sale","tt0014497",7,"2023-10-06","Souls for Sale","Souls for Sale","Movie",7,90,1923,1116,"1920s","Yes"
"https://www.rogerebert.com/reviews/great-movie-the-last-laugh-1924","The Last Laugh","tt0015064",NA,"","The Last Laugh","Der letzte Mann","Movie",8,90,1924,15292,"1920s","No"
"https://www.rogerebert.com/reviews/great-movie-the-battleship-potemkin-1925","The Battleship Potemkin","tt0015648",9,"2023-09-27","Battleship Potemkin","Bronenosets Potyomkin","Movie",7.9,66,1925,61703,"1920s","Yes"
"https://www.rogerebert.com/reviews/great-movie-greed-1925","Greed","tt0015881",NA,"","Greed","Greed","Movie",8,140,1924,10827,"1920s","No"
"https://www.rogerebert.com/reviews/great-movie-the-phantom-of-the-opera-1925","The Phantom of the Opera","tt0016220",NA,"","The Phantom of the Opera","The Phantom of the Opera","Movie",7.5,93,1925,20216,"1920s","No"
"https://www.rogerebert.com/reviews/great-movie-faust-1926","Faust","tt0016847",6,"2021-07-11","Faust","Faust: Eine deutsche Volkssage","Movie",8.1,107,1926,16747,"1920s","Yes"
"https://www.rogerebert.com/reviews/great-movie-metropolis-2010-restoration-1927","Metropolis","tt0017136",10,"2021-07-11","Metropolis","Metropolis","Movie",8.3,153,1927,186614,"1920s","Yes"
"https://www.rogerebert.com/reviews/great-movie-the-general-1927","The General","tt0017925",NA,"","The General","The General","Movie",8.1,78,1926,98733,"1920s","No"
"https://www.rogerebert.com/reviews/great-movie-sunrise-1928","Sunrise","tt0018455",9,"2022-12-08","Sunrise","Sunrise: A Song of Two Humans","Movie",8.1,94,1927,54072,"1920s","Yes"
"https://www.rogerebert.com/reviews/great-movie-pandoras-box-1928","Pandora's Box","tt0018737",NA,"","Pandora's Box","Die Büchse der Pandora","Movie",7.7,109,1929,11930,"1920s","No"
"https://www.rogerebert.com/reviews/great-movie-the-circus-1928","The Circus","tt0018773",NA,"","The Circus","The Circus","Movie",8.1,72,1928,36261,"1920s","No"
"https://www.rogerebert.com/reviews/great-movie-the-man-who-laughs-1928","The Man Who Laughs","tt0019130",8,"2023-10-24","The Man Who Laughs","The Man Who Laughs","Movie",7.6,110,1928,8167,"1920s","Yes"
"https://www.rogerebert.com/reviews/great-movie-the-passion-of-joan-of-arc-1928","The Passion of Joan of Arc","tt0019254",10,"2023-09-11","The Passion of Joan of Arc","La passion de Jeanne d'Arc","Movie",8.1,114,1928,61192,"1920s","Yes"
"https://www.rogerebert.com/reviews/great-movie-man-with-a-movie-camera-1929","Man With a Movie Camera","tt0019760",NA,"","Man with a Movie Camera","Chelovek s kino-apparatom","Movie",8.3,68,1929,28176,"1920s","No"
"https://www.rogerebert.com/reviews/great-movie-diary-of-a-lost-girl-1929","Diary of a Lost Girl","tt0020475",NA,"","Diary of a Lost Girl","Tagebuch einer Verlorenen","Movie",7.8,79,1929,4845,"1920s","No"
"https://www.rogerebert.com/reviews/great-movie-un-chien-andalou-1928","Un Chien Andalou","tt0020530",8,"2023-10-24","Un chien andalou","Un chien andalou","Short",7.6,16,1929,54055,"1920s","Yes"
"https://www.rogerebert.com/reviews/great-movie-city-lights-1931","City Lights","tt0021749",NA,"","City Lights","City Lights","Movie",8.5,87,1931,197174,"1930s","No"
"https://www.rogerebert.com/reviews/great-movie-dracula-1931","Dracula","tt0021814",8,"2021-07-09","Dracula","Dracula","Movie",7.4,75,1931,59029,"1930s","Yes"
"https://www.rogerebert.com/reviews/great-movie-m-1931","M","tt0022100",9,"2021-07-09","M","M - Eine Stadt sucht einen Mörder","Movie",8.3,99,1931,169539,"1930s","Yes"
"https://www.rogerebert.com/reviews/great-movie-trouble-in-paradise-1932","Trouble in Paradise","tt0023622",10,"2024-04-28","Trouble in Paradise","Trouble in Paradise","Movie",7.9,83,1932,16282,"1930s","Yes"
"https://www.rogerebert.com/reviews/great-movie-duck-soup-1933","Duck Soup","tt0023969",8,"2024-04-23","Duck Soup","Duck Soup","Movie",7.7,69,1933,63004,"1930s","Yes"
"https://www.rogerebert.com/reviews/great-movie-king-kong-1933","King Kong","tt0024216",8,"2021-07-09","King Kong","King Kong","Movie",7.9,100,1933,91505,"1930s","Yes"
"https://www.rogerebert.com/reviews/great-movie-latalante-1934","L'Atalante","tt0024844",9,"2024-05-12","L'Atalante","L'Atalante","Movie",7.7,89,1947,17593,"1940s","Yes"
"https://www.rogerebert.com/reviews/great-movie-the-scarlet-empress-1934","The Scarlet Empress","tt0025746",NA,"","The Scarlet Empress","The Scarlet Empress","Movie",7.5,104,1934,7280,"1930s","No"
"https://www.rogerebert.com/reviews/great-movie-the-thin-man-1934","The Thin Man","tt0025878",8,"2023-12-26","The Thin Man","The Thin Man","Movie",7.9,91,1934,32723,"1930s","Yes"
"https://www.rogerebert.com/reviews/great-movie-triumph-of-the-will-1935","Triumph of the Will","tt0025913",8,"2023-09-20","Triumph of the Will","Triumph des Willens","Movie",7.1,110,1935,18416,"1930s","Yes"
"https://www.rogerebert.com/reviews/great-movie-bride-of-frankenstein","Bride of Frankenstein","tt0026138",9,"2021-07-11","Bride of Frankenstein","The Bride of Frankenstein","Movie",7.8,75,1935,53554,"1930s","Yes"
"https://www.rogerebert.com/reviews/great-movie-top-hat-1935","Top Hat","tt0027125",6,"2021-07-09","Top Hat","Top Hat","Movie",7.7,101,1935,20816,"1930s","Yes"
"https://www.rogerebert.com/reviews/great-movie-the-only-son-1936","The Only Son","tt0027752",8,"2024-05-27","The Only Son","Hitori musuko","Movie",7.7,87,1987,4071,"1980s","Yes"
"https://www.rogerebert.com/reviews/great-movie-my-man-godfrey-1936","My Man Godfrey","tt0028010",8,"2022-04-04","My Man Godfrey","My Man Godfrey","Movie",7.9,94,1936,26603,"1930s","Yes"
"https://www.rogerebert.com/reviews/great-movie-swing-time-1936","Swing Time","tt0028333",NA,"","Swing Time","Swing Time","Movie",7.5,103,1936,14669,"1930s","No"
"https://www.rogerebert.com/reviews/great-movie-grand-illusion-1937","Grand Illusion","tt0028950",9,"2024-01-14","The Grand Illusion","La grande illusion","Movie",8.1,113,1938,39030,"1930s","Yes"
"https://www.rogerebert.com/reviews/make-way-for-tomorrow-1937","Make Way for Tomorrow","tt0029192",9,"2024-06-08","Make Way for Tomorrow","Make Way for Tomorrow","Movie",8.2,91,1937,9588,"1930s","Yes"
"https://www.rogerebert.com/reviews/great-movie-snow-white-and-the-seven-dwarfs-1937","Snow White and the Seven Dwarfs","tt0029583",7,"2021-07-09","Snow White and the Seven Dwarfs","Snow White and the Seven Dwarfs","Movie",7.6,83,1938,216850,"1930s","Yes"
"https://www.rogerebert.com/reviews/great-movie-the-adventures-of-robin-hood-1938","The Adventures of Robin Hood","tt0029843",7,"2024-04-12","The Adventures of Robin Hood","The Adventures of Robin Hood","Movie",7.9,102,1938,54743,"1930s","Yes"
"https://www.rogerebert.com/reviews/great-movie-gone-with-the-wind-1939","Gone With the Wind","tt0031381",7,"2022-01-16","Gone with the Wind","Gone with the Wind","Movie",8.2,238,1940,335999,"1940s","Yes"
"https://www.rogerebert.com/reviews/great-movie-the-rules-of-the-game-1939","The Rules of the Game","tt0031885",9,"2024-03-24","The Rules of the Game","La règle du jeu","Movie",7.9,110,1950,31509,"1950s","Yes"
"https://www.rogerebert.com/reviews/great-movie-stagecoach-1939","Stagecoach","tt0031971",7,"2022-03-29","Stagecoach","Stagecoach","Movie",7.8,96,1939,54272,"1930s","Yes"
"https://www.rogerebert.com/reviews/great-movie-the-wizard-of-oz-1939","The Wizard of Oz","tt0032138",10,"2021-07-09","The Wizard of Oz","The Wizard of Oz","Movie",8.1,102,1939,431067,"1930s","Yes"
"https://www.rogerebert.com/reviews/great-movie-the-bank-dick-1940","The Bank Dick","tt0032234",7,"2024-01-15","The Bank Dick","The Bank Dick","Movie",7.1,72,1940,7840,"1940s","Yes"
"https://www.rogerebert.com/reviews/great-movie-the-grapes-of-wrath-1940","The Grapes of Wrath","tt0032551",7,"2023-08-29","The Grapes of Wrath","The Grapes of Wrath","Movie",8.1,129,1940,100551,"1940s","Yes"
"https://www.rogerebert.com/reviews/great-movie-the-great-dictator-1940","The Great Dictator","tt0032553",9,"2023-07-07","The Great Dictator","The Great Dictator","Movie",8.4,125,1941,238604,"1940s","Yes"
"https://www.rogerebert.com/reviews/great-movie-pinocchio-1940","Pinocchio","tt0032910",7,"2021-07-09","Pinocchio","Pinocchio","Movie",7.5,88,1940,160896,"1940s","Yes"
"https://www.rogerebert.com/reviews/the-thief-of-bagdad-1940","The Thief of Bagdad","tt0033152",5,"2023-09-10","The Thief of Bagdad","The Thief of Bagdad","Movie",7.4,106,1940,14611,"1940s","Yes"
"https://www.rogerebert.com/reviews/great-movie-citizen-kane-1941","Citizen Kane","tt0033467",8,"2021-07-09","Citizen Kane","Citizen Kane","Movie",8.3,119,1941,468050,"1940s","Yes"
"https://www.rogerebert.com/reviews/great-movie-the-lady-eve-1941","The Lady Eve","tt0033804",6,"2021-07-09","The Lady Eve","The Lady Eve","Movie",7.7,94,1941,23513,"1940s","Yes"
"https://www.rogerebert.com/reviews/great-movie-the-maltese-falcon-1941","The Maltese Falcon","tt0033870",8,"2021-07-09","The Maltese Falcon","The Maltese Falcon","Movie",7.9,100,1941,167293,"1940s","Yes"
"https://www.rogerebert.com/reviews/great-movie-casablanca-1942","Casablanca","tt0034583",9,"2021-07-09","Casablanca","Casablanca","Movie",8.5,102,1943,609297,"1940s","Yes"
"https://www.rogerebert.com/reviews/great-movie-cat-people-1942","Cat People","tt0034587",8,"2021-07-11","Cat People","Cat People","Movie",7.2,73,1942,26188,"1940s","Yes"
"https://www.rogerebert.com/reviews/great-movie-yankee-doodle-dandy-1942","Yankee Doodle Dandy","tt0035575",NA,"","Yankee Doodle Dandy","Yankee Doodle Dandy","Movie",7.6,126,1942,16939,"1940s","No"
"https://www.rogerebert.com/reviews/great-movie-the-life-and-death-of-colonel-blimp-1943","The Life and Death of Colonel Blimp","tt0036112",9,"2022-08-24","The Life and Death of Colonel Blimp","The Life and Death of Colonel Blimp","Movie",8,163,1944,16541,"1940s","Yes"
"https://www.rogerebert.com/reviews/great-movie-shadow-of-a-doubt-1943","Shadow of a Doubt","tt0036342",7,"2021-07-09","Shadow of a Doubt","Shadow of a Doubt","Movie",7.8,108,1943,70914,"1940s","Yes"
"https://www.rogerebert.com/reviews/great-movie-double-indemnity-1944","Double Indemnity","tt0036775",9,"2022-11-13","Double Indemnity","Double Indemnity","Movie",8.3,107,1944,168395,"1940s","Yes"
"https://www.rogerebert.com/reviews/the-best-years-of-our-lives-1946","The Best Years of Our Lives","tt0036868",9,"2022-03-26","The Best Years of Our Lives","The Best Years of Our Lives","Movie",8.1,170,1947,71093,"1940s","Yes"
"https://www.rogerebert.com/reviews/great-movie-laura-1944","Laura","tt0037008",8,"2021-07-09","Laura","Laura","Movie",7.9,88,1944,51959,"1940s","Yes"
"https://www.rogerebert.com/reviews/great-movie-detour-1945","Detour","tt0037638",8,"2022-12-15","Detour","Detour","Movie",7.3,66,1946,19884,"1940s","Yes"
"https://www.rogerebert.com/reviews/great-movie-children-of-paradise-1945","Children of Paradise","tt0037674",NA,"","Children of Paradise","Les enfants du paradis","Movie",8.3,189,1945,21293,"1940s","No"
"https://www.rogerebert.com/reviews/great-movie-ivan-the-terrible-parts-i-and-ii","Ivan the Terrible, Parts I & II","tt0037824",8,"2023-10-09","Ivan the Terrible, Part I","Ivan Groznyy","Movie",7.7,95,1947,10926,"1940s","Yes"
"https://www.rogerebert.com/reviews/great-movie-beauty-and-the-beast-1946","Beauty and the Beast","tt0038348",9,"2023-06-04","Beauty and the Beast","La Belle et la Bête","Movie",7.9,93,1947,28269,"1940s","Yes"
"https://www.rogerebert.com/reviews/great-movie-the-big-sleep-1946","The Big Sleep","tt0038355",7,"2021-07-09","The Big Sleep","The Big Sleep","Movie",7.9,114,1946,90880,"1940s","Yes"
"https://www.rogerebert.com/reviews/great-movie-great-expectations-1946","Great Expectations","tt0038574",9,"2023-09-09","Great Expectations","Great Expectations","Movie",7.8,118,1947,26560,"1940s","Yes"
"https://www.rogerebert.com/reviews/great-movie-its-a-wonderful-life-1946","It's a Wonderful Life","tt0038650",8,"2021-07-09","It's a Wonderful Life","It's a Wonderful Life","Movie",8.6,130,1947,501892,"1940s","Yes"
"https://www.rogerebert.com/reviews/great-movie-my-darling-clementine-1946","My Darling Clementine","tt0038762",7,"2024-02-29","My Darling Clementine","My Darling Clementine","Movie",7.7,97,1946,25946,"1940s","Yes"
"https://www.rogerebert.com/reviews/great-movie-notorious-1946","Notorious","tt0038787",7,"2021-07-09","Notorious","Notorious","Movie",7.9,102,1946,107814,"1940s","Yes"
"https://www.rogerebert.com/reviews/great-movie-out-of-the-past-1947","Out of the Past","tt0039689",8,"2022-10-20","Out of the Past","Out of the Past","Movie",8,97,1947,41177,"1940s","Yes"
"https://www.rogerebert.com/reviews/great-movie-the-bicycle-thief--bicycle-thieves-1949","The Bicycle Thief","tt0040522",9,"2023-08-10","Bicycle Thieves","Ladri di biciclette","Movie",8.3,89,1949,176287,"1940s","Yes"
"https://www.rogerebert.com/reviews/great-movie-red-river-1948","Red River","tt0040724",9,"2023-05-23","Red River","Red River","Movie",7.8,133,1948,34672,"1940s","Yes"
"https://www.rogerebert.com/reviews/the-red-shoes-1948","The Red Shoes","tt0040725",10,"2023-05-18","The Red Shoes","The Red Shoes","Movie",8.1,135,1948,39526,"1940s","Yes"
"https://www.rogerebert.com/reviews/great-movie-the-treasure-of-the-sierra-madre-1948","The Treasure of the Sierra Madre","tt0040897",7,"2022-04-06","The Treasure of the Sierra Madre","The Treasure of the Sierra Madre","Movie",8.2,126,1948,133043,"1940s","Yes"
"https://www.rogerebert.com/reviews/great-movie-late-spring-1972","Late Spring","tt0041154",NA,"","Late Spring","Banshun","Movie",8.2,108,1949,19534,"1940s","No"
"https://www.rogerebert.com/reviews/great-movie-kind-hearts-and-coronets-1949","Kind Hearts and Coronets","tt0041546",7,"2023-05-22","Kind Hearts and Coronets","Kind Hearts and Coronets","Movie",8,106,1950,39894,"1950s","Yes"
"https://www.rogerebert.com/reviews/great-movie-orpheus-1949","Orpheus","tt0041719",NA,"","Orpheus","Orphée","Movie",7.9,112,1950,13511,"1950s","No"
"https://www.rogerebert.com/reviews/great-movie-the-third-man-1949","The Third Man","tt0041959",8,"2022-01-01","The Third Man","The Third Man","Movie",8.1,93,1950,182888,"1950s","Yes"
"https://www.rogerebert.com/reviews/great-movie-all-about-eve-1950","All About Eve","tt0042192",9,"2023-07-14","All About Eve","All About Eve","Movie",8.2,138,1950,139555,"1950s","Yes"
"https://www.rogerebert.com/reviews/in-a-lonely-place-1950","In a Lonely Place","tt0042593",9,"2022-12-08","In a Lonely Place","In a Lonely Place","Movie",7.9,94,1950,35709,"1950s","Yes"
"https://www.rogerebert.com/reviews/great-movie-diary-of-a-country-priest-1951","Diary of a Country Priest","tt0042619",8,"2024-05-30","Diary of a Country Priest","Journal d'un curé de campagne","Movie",7.8,95,1954,12801,"1950s","Yes"
"https://www.rogerebert.com/reviews/great-movie-rashomon-1950","Rashomon","tt0042876",7,"2022-07-30","Rashomon","Rashômon","Movie",8.2,88,1951,181684,"1950s","Yes"
"https://www.rogerebert.com/reviews/great-movie-sunset-boulevard-1950","Sunset Boulevard","tt0043014",8,"2021-07-09","Sunset Boulevard","Sunset Blvd.","Movie",8.4,110,1950,237918,"1950s","Yes"
"https://www.rogerebert.com/reviews/great-movie-ace-in-the-hole-1951","Ace in the Hole","tt0043338",6,"2023-07-14","Ace in the Hole","Ace in the Hole","Movie",8.1,111,1951,39441,"1950s","Yes"
"https://www.rogerebert.com/reviews/great-movie-forbidden-games-1952","Forbidden Games","tt0043686",NA,"","Forbidden Games","Jeux interdits","Movie",8,86,1952,13170,"1950s","No"
"https://www.rogerebert.com/reviews/great-movie-the-river-le-fleuve-1951","The River (Le Fleuve)","tt0043972",NA,"","The River","The River","Movie",7.4,99,1951,6933,"1950s","No"
"https://www.rogerebert.com/reviews/great-movie-strangers-on-a-train-1951","Strangers on a Train","tt0044079",8,"2022-01-06","Strangers on a Train","Strangers on a Train","Movie",7.9,101,1951,141742,"1950s","Yes"
"https://www.rogerebert.com/reviews/great-movie-ikiru-1952","Ikiru","tt0044741",9,"2023-05-11","Ikiru","Ikiru","Movie",8.3,143,1956,88410,"1950s","Yes"
"https://www.rogerebert.com/reviews/great-movie-the-life-of-oharu-1952","The Life of Oharu","tt0045112",NA,"","The Life of Oharu","Saikaku ichidai onna","Movie",8.1,133,1952,7693,"1950s","No"
"https://www.rogerebert.com/reviews/great-movie-singin-in-the-rain-1952","Singin' in the Rain","tt0045152",6,"2021-11-04","Singin' in the Rain","Singin' in the Rain","Movie",8.3,103,1952,262359,"1950s","Yes"
"https://www.rogerebert.com/reviews/great-movie-umberto-d-1952","Umberto D","tt0045274",9,"2023-10-05","Umberto D.","Umberto D.","Movie",8.2,89,1955,28432,"1950s","Yes"
"https://www.rogerebert.com/reviews/great-movie-the-band-wagon-1953","The Band Wagon","tt0045537",6,"2023-06-14","The Band Wagon","The Band Wagon","Movie",7.4,112,1953,12671,"1950s","Yes"
"https://www.rogerebert.com/reviews/great-movie-the-big-heat-1953","The Big Heat","tt0045555",10,"2023-10-25","The Big Heat","The Big Heat","Movie",7.9,89,1953,29534,"1950s","Yes"
"https://www.rogerebert.com/reviews/great-movie-the-earrings-of-madame-de-1953","The Earrings of Madame de...","tt0046022",8,"2023-05-25","The Earrings of Madame De...","Madame de...","Movie",7.9,105,1954,11184,"1950s","Yes"
"https://www.rogerebert.com/reviews/great-movie-shane-1953","Shane","tt0046303",NA,"","Shane","Shane","Movie",7.6,118,1953,44448,"1950s","No"
"https://www.rogerebert.com/reviews/great-movie-beat-the-devil-1954","Beat the Devil","tt0046414",NA,"","Beat the Devil","Beat the Devil","Movie",6.4,89,1953,10500,"1950s","No"
