"Ceremony","Ceremony.Year","AwardCeremony","AwardCategory","Note","FilmID","FilmName","PersonID","PersonName","GeneralizedCategory","Your.Rating","Date.Rated","Title","Title.Type","IMDb.Rating","Runtime","Year","Num.Votes","Seen"
1,1929,"001-1929","Top Foreign Films",NA,"tt0019649","Arsenal",NA,NA,"International",NA,NA,"Arsenal","movie",7.1,93,1929,2286,"No"
1,1929,"001-1929","Top Foreign Films",NA,"tt0018990","Homecoming",NA,NA,"International",NA,NA,"Heimkehr","movie",6.9,78,1928,213,"No"
1,1929,"001-1929","Top Foreign Films",NA,"tt0018217","October (Ten Days that Shook the World)",NA,NA,"International",NA,NA,"Oktyabr","movie",7.4,142,1927,8296,"No"
1,1929,"001-1929","Top Foreign Films",NA,"tt0020269","Piccadilly",NA,NA,"International",NA,NA,"Piccadilly","movie",7.1,92,1929,1791,"No"
1,1929,"001-1929","Top Foreign Films",NA,"tt0019254","The Passion of Joan of Arc",NA,NA,"International",10,"2023-09-11","La passion de Jeanne d'Arc","movie",8.1,110,1928,59002,"Yes"
1,1929,"001-1929","Top Ten Films",NA,"tt0019644","Applause",NA,NA,"Top Films",NA,NA,"Applause","movie",7.1,80,1929,1474,"No"
1,1929,"001-1929","Top Ten Films",NA,"tt0019725","Broadway",NA,NA,"Top Films",NA,NA,"Broadway","movie",6.2,104,1929,442,"No"
1,1929,"001-1929","Top Ten Films",NA,"tt0019735","Bulldog Drummond",NA,NA,"Top Films",NA,NA,"Bulldog Drummond","movie",6.3,90,1929,1277,"No"
1,1929,"001-1929","Top Ten Films",NA,"tt0019823","Disraeli",NA,NA,"Top Films",5,"2022-06-15","Disraeli","movie",6.1,90,1929,1347,"Yes"
1,1929,"001-1929","Top Ten Films",NA,"tt0019959","Hallelujah",NA,NA,"Top Films",NA,NA,"Hallelujah","movie",6.7,109,1929,1963,"No"
1,1929,"001-1929","Top Ten Films",NA,"tt0020258","Paris Bound",NA,NA,"Top Films",5,"2023-09-28","Paris Bound","movie",5.6,73,1929,146,"Yes"
1,1929,"001-1929","Top Ten Films",NA,"tt0019754","The Case of Lena Smith",NA,NA,"Top Films",NA,NA,"The Case of Lena Smith","movie",6.5,80,1929,45,"No"
1,1929,"001-1929","Top Ten Films",NA,"tt0020092","The Letter",NA,NA,"Top Films",NA,NA,"The Letter","movie",6.6,65,1929,851,"No"
1,1929,"001-1929","Top Ten Films",NA,"tt0020112","The Love Parade",NA,NA,"Top Films",NA,NA,"The Love Parade","movie",7,107,1929,2531,"No"
1,1929,"001-1929","Top Ten Films",NA,"tt0020543","The Valiant",NA,NA,"Top Films",NA,NA,"The Valiant","movie",6,66,1929,505,"No"
2,1930,"002-1930","Top Foreign Films",NA,"tt0021571","Earth",NA,NA,"International",NA,NA,"Zemlya","movie",7.2,75,1930,6255,"No"
2,1930,"002-1930","Top Foreign Films",NA,"tt0018996","High Treason",NA,NA,"International",NA,NA,"High Treason","movie",6.1,95,1929,189,"No"
2,1930,"002-1930","Top Foreign Films",NA,"tt0020451","Old and New",NA,NA,"International",NA,NA,"Staroye i novoye","movie",7.2,121,1929,1673,"No"
2,1930,"002-1930","Top Foreign Films",NA,"tt0019286","Storm Over Asia",NA,NA,"International",NA,NA,"Potomok Chingis-Khana","movie",7,127,1928,2262,"No"
2,1930,"002-1930","Top Foreign Films",NA,"tt0021572","Zwei Herzen im Dreiviertel-Takt",NA,NA,"International",NA,NA,"Zwei Herzen im Dreiviertel-Takt","movie",6.8,96,1930,54,"No"
2,1930,"002-1930","Top Ten Films",NA,"tt0020629","All Quiet on the Western Front",NA,NA,"Top Films",8,"2022-11-06","All Quiet on the Western Front","movie",8.1,152,1930,66492,"Yes"
2,1930,"002-1930","Top Ten Films",NA,"tt0020985","Holiday",NA,NA,"Top Films",NA,NA,"Holiday","movie",6.3,91,1930,637,"No"
2,1930,"002-1930","Top Ten Films",NA,"tt0021053","Laughter",NA,NA,"Top Films",NA,NA,"Laughter","movie",6.3,85,1930,395,"No"
2,1930,"002-1930","Top Ten Films",NA,"tt0021140","Men Without Women",NA,NA,"Top Films",NA,NA,"Men Without Women","movie",6,77,1930,388,"No"
2,1930,"002-1930","Top Ten Films",NA,"tt0021156","Morocco",NA,NA,"Top Films",7,"2022-07-24","Morocco","movie",7,92,1930,7308,"Yes"
2,1930,"002-1930","Top Ten Films",NA,"tt0021225","Outward Bound",NA,NA,"Top Films",NA,NA,"Outward Bound","movie",6.5,83,1930,542,"No"
2,1930,"002-1930","Top Ten Films",NA,"tt0021310","Romance",NA,NA,"Top Films",NA,NA,"Romance","movie",5.7,76,1930,1007,"No"
2,1930,"002-1930","Top Ten Films",NA,"tt0021420","Street of Chance",NA,NA,"Top Films",NA,NA,"Street of Chance","movie",6.4,75,1930,388,"No"
2,1930,"002-1930","Top Ten Films",NA,"tt0021115","The Man from Blankley's",NA,NA,"Top Films",NA,NA,"The Man from Blankley's","movie",6.8,67,1930,92,"No"
2,1930,"002-1930","Top Ten Films",NA,"tt0021482","Tol'able David",NA,NA,"Top Films",NA,NA,"Tol'able David","movie",6.9,65,1930,42,"No"
3,1931,"003-1931","Top Foreign Films",NA,"tt0025390","Das Lied vom Leben",NA,NA,"International",NA,NA,"Das Lied vom Leben","movie",7,65,1931,35,"No"
3,1931,"003-1931","Top Foreign Films",NA,"tt0022150","Le million",NA,NA,"International",NA,NA,"Le million","movie",7.4,91,1931,3766,"No"
3,1931,"003-1931","Top Foreign Films",NA,"tt0021818","The Threepenny Opera",NA,NA,"International",NA,NA,"Die 3 Groschen-Oper","movie",7.2,104,1931,2492,"No"
3,1931,"003-1931","Top Foreign Films",NA,"tt0021409","Under the Roofs of Paris",NA,NA,"International",NA,NA,"Sous les toits de Paris","movie",7.1,96,1930,2439,"No"
3,1931,"003-1931","Top Foreign Films",NA,"tt0021542","Westfront 1918",NA,NA,"International",NA,NA,"Westfront 1918: Vier von der Infanterie","movie",7.4,75,1930,2332,"No"
3,1931,"003-1931","Top Ten Films",NA,"tt0021746","Cimarron",NA,NA,"Top Films",NA,NA,"Cimarron","movie",5.8,123,1931,6737,"No"
3,1931,"003-1931","Top Ten Films",NA,"tt0021749","City Lights",NA,NA,"Top Films",NA,NA,"City Lights","movie",8.5,87,1931,192342,"No"
3,1931,"003-1931","Top Ten Films",NA,"tt0021750","City Streets",NA,NA,"Top Films",NA,NA,"City Streets","movie",7,83,1931,1826,"No"
3,1931,"003-1931","Top Ten Films",NA,"tt0021800","Dishonored",NA,NA,"Top Films",NA,NA,"Dishonored","movie",7.2,91,1931,3006,"No"
3,1931,"003-1931","Top Ten Films",NA,"tt0022290","Quick Millions",NA,NA,"Top Films",NA,NA,"Quick Millions","movie",6.3,72,1931,381,"No"
3,1931,"003-1931","Top Ten Films",NA,"tt0173105","Rango",NA,NA,"Top Films",NA,NA,"Rango","movie",5.8,66,1931,35,"No"
3,1931,"003-1931","Top Ten Films",NA,"tt0022452","Surrender",NA,NA,"Top Films",NA,NA,"Surrender","movie",6.1,69,1931,90,"No"
3,1931,"003-1931","Top Ten Films",NA,"tt0022458","Tabu: A Story of the South Seas",NA,NA,"Top Films",NA,NA,"Tabu: A Story of the South Seas","movie",7.4,86,1931,6264,"No"
3,1931,"003-1931","Top Ten Films",NA,"tt0021890","The Front Page",NA,NA,"Top Films",6,"2022-08-16","The Front Page","movie",6.7,101,1931,3317,"Yes"
3,1931,"003-1931","Top Ten Films",NA,"tt0021931","The Guardsman",NA,NA,"Top Films",5,"2023-08-22","The Guardsman","movie",6.4,82,1931,573,"Yes"
4,1932,"004-1932","Best Film",NA,"tt0023042","I Am a Fugitive from a Chain Gang",NA,NA,"Top Films",NA,NA,"I Am a Fugitive from a Chain Gang","movie",8.2,92,1932,14157,"No"
4,1932,"004-1932","Top Foreign Films",NA,"tt0022599","À nous la liberté",NA,NA,"International",8,"2023-08-22","À nous la liberté","movie",7.4,104,1931,4867,"Yes"
4,1932,"004-1932","Top Foreign Films",NA,"tt0022017","Comradeship",NA,NA,"International",NA,NA,"Kameradschaft","movie",7.5,93,1931,1690,"No"
4,1932,"004-1932","Top Foreign Films",NA,"tt0020638","Der Andere",NA,NA,"International",NA,NA,"Der Andere","movie",5.2,104,1930,36,"No"
4,1932,"004-1932","Top Foreign Films",NA,"tt0022595","Golden Mountains",NA,NA,"International",NA,NA,"Zlatye gory","movie",6.6,129,1931,54,"No"
4,1932,"004-1932","Top Foreign Films",NA,"tt0022183","Mädchen in Uniform",NA,NA,"International",NA,NA,"Mädchen in Uniform","movie",7.6,88,1931,3579,"No"
4,1932,"004-1932","Top Foreign Films",NA,"tt0023455","Reserved for Ladies",NA,NA,"International",NA,NA,"Service for Ladies","movie",6.2,93,1932,164,"No"
4,1932,"004-1932","Top Foreign Films",NA,"tt0022289","Road to Life",NA,NA,"International",NA,NA,"Putyovka v zhizn","movie",6.9,119,1931,457,"No"
