"Year","Y","N"
1927,1,0
1929,1,0
1930,3,0
1931,8,0
1932,2,2
1933,3,5
1934,3,4
1935,3,6
1936,3,6
1937,8,6
1938,3,6
1939,11,6
1940,15,4
1941,11,4
1942,6,5
1943,3,5
1944,6,4
1945,6,5
1946,12,5
1947,7,2
1948,8,7
1949,9,3
1950,6,4
1951,7,5
1952,5,8
1953,11,11
1954,7,5
1955,11,11
1956,3,11
1957,10,5
1958,7,8
1959,10,8
1960,10,6
1961,7,5
1962,9,7
1963,7,7
1964,10,7
1965,7,5
1966,6,4
1967,11,3
1968,6,7
1969,8,12
1970,5,14
1971,8,12
1972,7,10
1973,9,10
1974,8,6
1975,6,5
1976,7,4
1977,4,6
1978,5,10
1979,10,7
1980,8,12
1981,5,7
1982,8,9
1983,6,11
1984,5,11
1985,8,11
1986,9,8
1987,11,8
1988,11,15
1989,11,6
1990,4,9
1991,7,7
1992,7,8
1993,5,3
1994,6,10
1995,9,3
1996,7,4
1997,5,6
1998,6,4
1999,5,3
2000,6,5
2001,9,6
2002,6,3
