"AwardCeremony","Actor, Lead","Actor, Supporting","Actress, Lead","Actress, Supporting","Animated","Art Direction","Cinematography","Costume","Director","Director, Assistant","Documentary","Film Editing","International","Makeup","Picture","Score","Short, Animated","Short, Documentary","Short, Live Action","Song","Sound","Visual Effects","Writing","<NA>"
"01-1929",0,NA,0.4,NA,NA,0.5,0.2,NA,0.6,NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA,NA,1,0.6,NA
"02-1930",0,NA,0,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA
"03-1930",0.1,NA,0.1,NA,NA,0,0.4,NA,0.3,NA,NA,NA,NA,NA,0.4,NA,NA,NA,NA,NA,0,NA,0.4,NA
"04-1931",0.2,NA,0.2,NA,NA,0.4,0.4,NA,0.4,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,NA,0.1,NA
"05-1932",0.3,NA,0,NA,NA,0,0.3,NA,0.3,NA,NA,NA,NA,NA,0.2,NA,0.3,NA,0.1,NA,NA,NA,0.3,NA
"06-1934",0.3,NA,0,NA,NA,0.3,0.3,NA,0.3,NA,NA,NA,NA,NA,0.4,NA,0,NA,0,NA,0.5,NA,0.2,NA
"07-1935",0.7,NA,0.5,NA,NA,0,0,NA,0.7,0,NA,0,NA,NA,0.2,0,0,NA,0,0,0,NA,0.5,NA
"08-1936",0.3,NA,0,NA,NA,0.3,0,NA,0.2,0,NA,0.2,NA,NA,0.2,0.2,0.7,NA,0,0.3,0.1,NA,0.1,NA
"09-1937",0.4,0.4,0.2,0.4,NA,0.1,0,NA,0.4,0,NA,0.2,NA,NA,0.1,0,0,NA,0.1,0,0.1,NA,0.2,NA
"10-1938",0.2,0.4,0.4,0.2,NA,0.1,0.3,NA,0.4,0.2,NA,0.2,NA,NA,0.3,0.1,0.3,NA,0,0,0.1,NA,0.2,NA
"11-1939",0.2,0,0.4,0.2,NA,0,0.1,NA,0,NA,NA,0,NA,NA,0.2,0.1,0,NA,0,0.1,0.1,NA,0.1,NA
"12-1940",1,0.5,1,1,NA,0.5,0.8,NA,1,NA,NA,0.8,NA,NA,1,0.3,0.2,NA,0.1,0.5,0.4,0.3,0.9,NA
"13-1941",0.4,0.4,0.6,0.4,NA,0.1,0.2,NA,0.6,NA,NA,0.4,NA,NA,0.4,0.1,0,NA,0,0.1,0,0.1,0.2,NA
