"AwardCeremony","Winner.Y","Winner.N","Nominee.Y","Nominee.N"
"01-1929",6,6,4,10
"02-1930",4,4,1,19
"03-1930",NA,8,NA,20
"04-1931",NA,7,5,11
"05-1932",10,2,14,3
"06-1934",6,5,4,15
"07-1935",3,10,7,14
"08-1936",5,11,7,26
"09-1937",4,11,2,37
"10-1938",4,13,5,37
"11-1939",6,9,6,38
"12-1940",8,5,12,27
"13-1941",9,9,11,42
"14-1942",13,6,18,64
"15-1943",11,10,20,57
"16-1944",3,17,8,58
"17-1945",4,11,9,63
"18-1946",13,9,5,59
"19-1947",9,7,13,28
"20-1948",9,10,17,26
"21-1949",8,11,8,27
"22-1950",6,15,8,34
"23-1951",7,12,9,29
"24-1952",7,8,8,34
"25-1953",5,13,10,35
"26-1954",6,12,13,37
"27-1955",7,11,9,29
"28-1956",6,13,14,24
"29-1957",8,12,9,32
"30-1958",6,7,12,23
"31-1959",8,7,7,33
"32-1960",8,6,9,28
"33-1961",7,11,11,28
"34-1962",10,5,8,33
"35-1963",10,7,8,31
"36-1964",8,9,7,34
"37-1965",8,7,10,34
"38-1966",10,7,9,31
"39-1967",6,8,7,33
"40-1968",12,4,10,23
"41-1969",10,8,9,27
"42-1970",9,7,7,24
"43-1971",7,10,3,31
"44-1972",7,8,10,25
"45-1973",7,7,4,32
"46-1974",9,6,7,26
"47-1975",10,5,11,25
"48-1976",8,6,4,38
"49-1977",8,6,9,29
"50-1978",7,7,9,28
"51-1979",10,6,9,25
"52-1980",11,4,7,34
"53-1981",7,7,4,32
"54-1982",9,4,5,26
"55-1983",6,9,12,22
"56-1984",7,6,6,29
"57-1985",6,8,15,25
"58-1986",10,7,8,25
"59-1987",13,5,12,24
"60-1988",9,5,16,27
"61-1989",12,6,11,26
"62-1990",14,3,12,24
"63-1991",7,8,12,27
"64-1992",11,4,11,21
"65-1993",13,4,14,27
"66-1994",9,5,12,26
"67-1995",11,7,15,25
"68-1996",11,7,18,23
"69-1997",12,5,25,25
"70-1998",9,4,18,28
"71-1999",11,3,17,24
"72-2000",9,7,20,24
"73-2001",11,4,16,23
"74-2002",14,4,22,12
"75-2003",11,6,20,17
"76-2004",12,2,31,6
"77-2005",13,4,24,15
"78-2006",14,4,19,19
"79-2007",16,2,25,17
"80-2008",14,5,21,20
"81-2009",11,4,13,24
"82-2010",12,4,25,19
"83-2011",9,6,16,27
"84-2012",14,3,25,21
"85-2013",13,4,21,17
"86-2014",9,5,23,23
"87-2015",16,2,22,22
"88-2016",16,2,20,21
"89-2017",12,5,32,15
"90-2018",15,2,33,11
"91-2019",14,3,25,12
"92-2020",16,2,30,7
"93-2021",16,NA,34,7
"94-2022",16,NA,38,NA
"95-2023",14,NA,40,1
