"AwardCeremony","FilmID","FilmName","Your.Rating","IMDb.Rating","Num.Votes","Nominations","Losses","Wins"
"01-1929","tt0017743","Chang: A Drama of the Wilderness",NA,6.9,1094,1,1,0
"01-1929","tt0017806","The Devil Dancer",NA,5,61,1,1,0
"01-1929","tt0017822","The Dove",NA,6.4,94,1,0,1
"01-1929","tt0017979","The Private Life of Helen of Troy",NA,5.8,89,1,1,0
"01-1929","tt0018037","The Jazz Singer",4,6.4,10877,1,1,0
"01-1929","tt0018129","The Magic Flame",NA,4.6,60,1,1,0
"01-1929","tt0018253","The Patent Leather Kid",NA,6.1,584,1,1,0
"01-1929","tt0018379","7th Heaven",9,7.6,4035,5,2,3
"01-1929","tt0018389","A Ship Comes In",NA,5.5,200,1,1,0
"01-1929","tt0018429","Sorrell and Son",NA,5.8,79,1,1,0
"01-1929","tt0018455","Sunrise",9,8.1,53251,4,1,3
"01-1929","tt0018515","Two Arabian Knights",7,6.7,1111,1,0,1
"01-1929","tt0018526","Underworld",6,7.5,3387,1,0,1
"01-1929","tt0018578","Wings",8,7.5,14157,2,0,2
"01-1929","tt0018806","The Crowd",7,8.1,8973,2,2,0
"01-1929","tt0018945","Glorious Betsy",5,5.7,147,1,1,0
"01-1929","tt0019071","The Last Command",NA,8,4412,2,1,1
"01-1929","tt0019217","The Noose",NA,6.7,83,1,1,0
"01-1929","tt0019304","The Racket",6,6.6,1498,1,1,0
"01-1929","tt0019344","Sadie Thompson",NA,7.2,2790,2,2,0
"01-1929","tt0019412","Speedy",7,7.6,4171,1,1,0
"01-1929","tt0019429","Street Angel",NA,7.3,2520,1,0,1
"01-1929","tt0019451","Tempest",NA,6.8,497,1,0,1
"01-1929","tt0019553","The Way of All Flesh",NA,6.8,214,1,0,1
"01-1929",NA,NA,NA,NA,NA,2,2,0
"02-1930","tt0019735","Bulldog Drummond",NA,6.3,1290,2,2,0
"02-1930","tt0019785","Condemned!",NA,6.4,561,1,1,0
"02-1930","tt0019823","Disraeli",5,6.1,1352,3,2,1
"02-1930","tt0019959","Hallelujah",NA,6.7,1972,1,1,0
"02-1930","tt0020112","The Love Parade",NA,7,2549,6,6,0
"02-1930","tt0020358","Sally",NA,6.1,405,1,1,0
"02-1930","tt0020488","Their Own Desire",NA,5.9,778,1,1,0
"02-1930","tt0020514","The Trespasser",NA,6.5,1420,1,1,0
"02-1930","tt0020594","With Byrd at the South Pole",NA,6.9,387,1,0,1
"02-1930","tt0020629","All Quiet on the Western Front",8,8.1,66825,4,2,2
"02-1930","tt0020641","Anna Christie",6,6.6,3425,3,3,0
"02-1930","tt0020686","The Big House",NA,7.1,2516,4,2,2
"02-1930","tt0020690","The Big Pond",NA,5.7,309,1,1,0
"02-1930","tt0020744","The Case of Sergeant Grischa",NA,7.1,53,1,1,0
"02-1930","tt0020823","The Devil's Holiday",NA,6,244,1,1,0
"02-1930","tt0020827","The Divorcee",7,6.7,3511,4,3,1
"02-1930","tt0020938","The Green Goddess",NA,5.4,429,1,1,0
"02-1930","tt0020960","Hell's Angels",NA,7.3,5825,1,1,0
"02-1930","tt0021025","King of Jazz",NA,6.7,1566,1,0,1
"02-1930","tt0021281","Raffles",NA,6.4,1091,1,1,0
"02-1930","tt0021307","The Rogue Song",NA,5.6,202,1,1,0
"02-1930","tt0021310","Romance",NA,5.7,1013,2,2,0
"02-1930","tt0021335","Sarah and Son",NA,5.4,305,1,1,0
"02-1930","tt0021404","The Song of the Flame",NA,5.3,55,1,1,0
"02-1930","tt0021420","Street of Chance",NA,6.4,394,1,1,0
"02-1930","tt0021511","The Vagabond King",NA,5.4,217,1,1,0
"03-1930","tt0018666","The Awakening",NA,5.4,84,1,1,0
"03-1930","tt0018674","The Barker",NA,7,117,1,1,0
"03-1930","tt0018792","The Cop",NA,6.2,49,1,1,0
"03-1930","tt0018907","4 Devils",NA,7.1,258,1,1,0
"03-1930","tt0019237","Our Dancing Daughters",NA,6.7,1927,2,2,0
"03-1930","tt0019257","The Patriot",NA,NA,NA,5,4,1
"03-1930","tt0019348","Sal of Singapore",NA,5.5,51,1,1,0
"03-1930","tt0019398","Skyscraper",NA,5.7,139,1,1,0
"03-1930","tt0019429","Street Angel",NA,7.3,2520,2,2,0
"03-1930","tt0019557","Weary River",NA,6.1,527,1,1,0
"03-1930","tt0019574","White Shadows in the South Seas",NA,6.8,941,1,0,1
"03-1930","tt0019591","A Woman of Affairs",NA,7.2,1669,1,1,0
"03-1930","tt0019630","Alibi",NA,5.7,914,3,3,0
"03-1930","tt0019722","The Bridge of San Luis Rey",NA,6.8,96,1,0,1
"03-1930","tt0019729","The Broadway Melody",NA,5.6,7816,3,2,1
"03-1930","tt0019788","Coquette",NA,5.5,2286,1,0,1
"03-1930","tt0019824","The Divine Lady",NA,6.2,894,3,2,1
"03-1930","tt0019833","Drag",NA,6.5,66,1,1,0
"03-1930","tt0019843","Dynamite",NA,6.9,477,1,1,0
"03-1930","tt0019993","The Hollywood Revue of 1929",NA,5.8,2227,1,1,0
"03-1930","tt0020018","In Old Arizona",NA,5.5,1254,5,4,1
"03-1930","tt0020081","The Last of Mrs. Cheyney",NA,6,566,1,1,0
"03-1930","tt0020088","The Leatherneck",NA,5.8,142,1,1,0
"03-1930","tt0020092","The Letter",NA,6.6,859,1,1,0
"03-1930","tt0020126","Madame X",NA,5.6,544,2,2,0
"03-1930","tt0020499","Thunderbolt",NA,6.5,839,1,1,0
"03-1930","tt0020543","The Valiant",NA,6,511,2,2,0
"03-1930","tt0020603","Wonder of Women",NA,5.5,84,1,1,0
"04-1931","tt0020815","The Dawn Patrol",NA,7.1,2005,1,0,1
"04-1931","tt0020836","The Doorway to Hell",NA,6.5,1297,1,1,0
"04-1931","tt0020985","Holiday",NA,6.3,643,2,2,0
"04-1931","tt0021016","Just Imagine",NA,5.4,820,1,1,0
"04-1931","tt0021053","Laughter",NA,6.3,397,1,1,0
"04-1931","tt0021079","Little Caesar",7,7.2,14250,1,1,0
"04-1931","tt0021148","Min and Bill",NA,6.7,1875,1,0,1
"04-1931","tt0021156","Morocco",7,7,7345,4,4,0
"04-1931","tt0021301","The Right to Love",NA,5.7,53,1,1,0
"04-1931","tt0021322","The Royal Family of Broadway",NA,6.1,425,1,1,0
"04-1931","tt0021549","Whoopee!",NA,6.4,1160,1,1,0
"04-1931","tt0021746","Cimarron",NA,5.8,6773,7,4,3
"04-1931","tt0021770","The Criminal Code",NA,6.9,1334,1,1,0
"04-1931","tt0021826","East Lynne",NA,5.8,314,1,1,0
"04-1931","tt0021885","A Free Soul",NA,6.6,2887,3,2,1
"04-1931","tt0021890","The Front Page",6,6.7,3342,3,3,0
"04-1931","tt0022286","The Public Enemy",7,7.6,22723,1,1,0
"04-1931","tt0022397","Skippy",NA,6.3,964,4,3,1
"04-1931","tt0022403","Smart Money",NA,6.8,2196,1,1,0
"04-1931","tt0022454","Svengali",6,6.8,2409,2,2,0
"04-1931","tt0022458","Tabu: A Story of the South Seas",NA,7.4,6294,1,0,1
"04-1931","tt0022495","Trader Horn",NA,6.1,1096,1,1,0
"04-1931",NA,NA,NA,NA,NA,1,1,0
"05-1932","tt0021622","Arrowsmith",5,6.2,1931,4,4,0
"05-1932","tt0021635","Bad Girl",4,6.4,1547,3,1,2
"05-1932","tt0021730","The Champ",7,7.2,3532,4,2,2
"05-1932","tt0021873","Five Star Final",7,7.3,2418,1,1,0
"05-1932","tt0021931","The Guardsman",5,6.4,576,2,2,0
"05-1932","tt0022074","The Smiling Lieutenant",6,7.2,4069,1,1,0
"05-1932","tt0022147","Mickey's Orphans",5,6.3,911,1,1,0
"05-1932","tt0022386","The Sin of Madelon Claudet",7,6.6,1105,1,0,1
"05-1932","tt0022430","The Star Witness",4,6.3,736,1,1,0
"05-1932","tt0022500","Transatlantic",5,6.3,257,1,0,1
"05-1932","tt0022599","À nous la liberté",8,7.4,4894,1,1,0
"05-1932","tt0022835","Dr. Jekyll and Mr. Hyde",8,7.6,15531,3,2,1
"05-1932","tt0022854","Emma",4,7,1115,1,1,0
"05-1932","tt0022899","Flowers and Trees",7,7.3,3647,1,0,1
"05-1932","tt0022958","Grand Hotel",7,7.3,20546,1,0,1
"05-1932","tt0023067","It's Got Me Again!",5,5.8,634,1,1,0
"05-1932","tt0023109","Lady and Gent",5,6,226,1,1,0
"05-1932","tt0023152","The Loud Mouth",NA,6.1,22,1,1,0
"05-1932","tt0023251","The Music Box",8,7.9,7933,1,0,1
"05-1932","tt0023303","One Hour with You",5,7.1,2856,1,1,0
"05-1932","tt0023441","Screen Souvenirs",NA,5.5,21,1,1,0
"05-1932","tt0023458","Shanghai Express",8,7.3,10103,3,2,1
"05-1932","tt0023517","Stout Hearts and Willing Hands",NA,7.1,28,1,1,0
"05-1932","tt0023686","What Price Hollywood?",7,7,2556,1,1,0
"05-1932","tt0023711","Wrestling Swordfish",NA,4.9,33,1,0,1
"05-1932","tt0152771","Swing High",7,6.6,183,1,1,0
"05-1932","tt0276472","Scratch-As-Catch-Can",4,5.6,51,1,1,0
"05-1932",NA,NA,NA,NA,NA,1,1,0
"06-1934","tt0022879","A Farewell to Arms",7,6.4,6635,4,2,2
"06-1934","tt0023042","I Am a Fugitive from a Chain Gang",NA,8.2,14233,3,3,0
"06-1934","tt0023305","One Way Passage",NA,7.5,4317,1,0,1
"06-1934","tt0023374","Rasputin and the Empress",NA,6.5,1153,1,1,0
"06-1934","tt0023443","The Sea",NA,NA,NA,1,1,0
"06-1934","tt0023470","The Sign of the Cross",NA,6.8,2630,1,1,0
"06-1934","tt0023488","Smilin' Through",NA,6.9,1518,1,1,0
"06-1934","tt0023794","Berkeley Square",NA,6.5,963,1,1,0
"06-1934","tt0023854","Building a Building",7,7,1129,1,1,0
"06-1934","tt0023876","Cavalcade",NA,5.8,5758,4,1,3
"06-1934","tt0024034","42nd Street",7,7.3,12852,2,2,0
"06-1934","tt0024069","Gold Diggers of 1933",NA,7.7,9010,1,1,0
"06-1934","tt0024231","Krakatoa",7,6.7,43,1,0,1
"06-1934","tt0024240","Lady for a Day",NA,7.4,4540,4,4,0
"06-1934","tt0024264","Little Women",7,7.2,7797,3,2,1
"06-1934","tt0024327","Menu",5,6.2,308,1,1,0
"06-1934","tt0024342","Mister Mugg",NA,NA,NA,1,1,0
"06-1934","tt0024353","Morning Glory",NA,6.4,3231,1,0,1
"06-1934","tt0024467","A Preferred List",NA,7.6,17,1,1,0
"06-1934","tt0024473","The Private Life of Henry VIII",6,7,4752,2,1,1
"06-1934","tt0024475","The Prizefighter and the Lady",NA,6.3,1052,1,1,0
"06-1934","tt0024496","Reunion in Vienna",NA,6.1,353,1,1,0
"06-1934","tt0024548","She Done Him Wrong",NA,6.3,6911,1,1,0
"06-1934","tt0024580","So This Is Harris",NA,5.6,131,1,0,1
"06-1934","tt0024610","State Fair",NA,6.7,1044,2,2,0
"06-1934","tt0024660","Three Little Pigs",6,7.5,6566,1,0,1
"06-1934","tt0024763","When Ladies Meet",NA,6.8,1113,1,1,0
"06-1934","tt0142655","The Merry Old Soul",5,5.8,284,1,1,0
"06-1934",NA,NA,NA,NA,NA,1,1,0
"07-1935","tt0023990","Eskimo",NA,6.9,576,1,0,1
"07-1935","tt0024025","Flying Down to Rio",NA,6.6,3933,1,1,0
"07-1935","tt0024816","The Affairs of Cellini",NA,6,465,4,4,0
"07-1935","tt0024865","The Barretts of Wimpole Street",NA,6.9,2089,2,2,0
"07-1935","tt0024909","Bosom Friends",NA,NA,NA,1,1,0
"07-1935","tt0024986","City of Wax",NA,6.3,90,1,0,1
"07-1935","tt0024991","Cleopatra",NA,6.8,4511,5,4,1
"07-1935","tt0025019","La Cucaracha",NA,5.7,362,1,0,1
"07-1935","tt0025124","Flirtation Walk",NA,5.6,821,2,2,0
"07-1935","tt0025164","The Gay Divorcee",NA,7.4,8453,5,4,1
"07-1935","tt0025238","Here Comes the Navy",NA,6.2,1141,1,1,0
"07-1935","tt0025251","Hide-Out",NA,6.9,867,1,1,0
"07-1935","tt0025260","Holiday Land",4,5.8,213,1,1,0
"07-1935","tt0025272","The House of Rothschild",NA,6.5,1283,1,1,0
"07-1935","tt0025301","Imitation of Life",NA,7.5,5505,3,3,0
"07-1935","tt0025316","It Happened One Night",8,8.1,110282,5,0,5
"07-1935","tt0025332","Jolly Little Elves",6,6,237,1,1,0
"07-1935","tt0025423","The Lost Patrol",NA,6.8,3555,1,1,0
"07-1935","tt0025464","Manhattan Melodrama",NA,7.1,4736,1,0,1
"07-1935","tt0025488","Men in Black",7,7.7,1442,1,1,0
"07-1935","tt0025493","The Merry Widow",NA,7.2,3190,1,0,1
"07-1935","tt0025586","Of Human Bondage",7,7,8116,1,1,0
"07-1935","tt0025601","One Night of Love",NA,5.6,731,6,4,2
"07-1935","tt0025607","Operator 13",NA,5.9,1488,1,1,0
"07-1935","tt0025718","The Richest Girl in the World",4,6.3,1002,1,1,0
"07-1935","tt0025774","She Loves Me Not",NA,5.8,209,1,1,0
"07-1935","tt0025840","Strikes and Spares",NA,6.3,258,1,1,0
"07-1935","tt0025878","The Thin Man",8,7.9,32077,4,4,0
"07-1935","tt0025948","Viva Villa!",NA,6.3,1532,4,3,1
"07-1935","tt0025977","What, No Men?",5,6,72,1,1,0
"07-1935","tt0025986","The White Parade",NA,6.8,104,2,2,0
"07-1935","tt0027126","The Tortoise and the Hare",7,7.1,3489,1,0,1
"08-1936","tt0024777","Wings Over Everest",5,5.9,123,1,0,1
"08-1936","tt0024823","All the King's Horses",NA,5.4,143,1,1,0
"08-1936","tt0026027","$1000 a Minute",NA,6.1,186,1,1,0
"08-1936","tt0026056","Alice Adams",NA,6.9,4471,2,2,0
"08-1936","tt0026086","Audioscopiks",7,5.7,201,1,1,0
"08-1936","tt0026097","Barbary Coast",NA,6.8,1994,1,1,0
"08-1936","tt0026104","Becky Sharp",NA,5.9,1254,1,1,0
"08-1936","tt0026113","The Big Broadcast of 1936",NA,5.7,338,1,1,0
"08-1936","tt0026121","Black Fury",NA,6.4,1025,1,1,0
"08-1936","tt0026138","The Bride of Frankenstein",9,7.8,52380,1,1,0
"08-1936","tt0026143","Broadway Hostess",NA,5.2,415,1,1,0
"08-1936","tt0026144","Broadway Melody of 1936",NA,6.8,1967,3,2,1
"08-1936","tt0026162","The Calico Dragon",5,5.6,420,1,1,0
"08-1936","tt0026167","Camera Thrills",NA,6.3,14,1,1,0
"08-1936","tt0026174","Captain Blood",NA,7.7,15479,5,5,0
"08-1936","tt0026249","The Crusades",NA,6.5,1263,1,1,0
"08-1936","tt0026261","Dangerous",NA,6.8,3595,1,0,1
"08-1936","tt0026264","The Dark Angel",NA,6.6,938,3,2,1
"08-1936","tt0026266","David Copperfield",NA,7.4,4670,3,3,0
"08-1936","tt0026320","Escape Me Never",NA,5.4,158,1,1,0
"08-1936","tt0026373","Folies Bergère de Paris",NA,6.5,336,1,0,1
"08-1936","tt0026393","'G' Men",NA,7.1,4259,1,1,0
"08-1936","tt0026400","The Gay Deception",NA,6.8,437,1,1,0
"08-1936","tt0026418","Go Into Your Dance",NA,6.1,458,1,1,0
"08-1936","tt0026421","Gold Diggers of 1935",NA,6.9,2922,2,1,1
"08-1936","tt0026497","How to Sleep",6,6.3,721,1,0,1
"08-1936","tt0026507","I Dream Too Much",NA,5.3,624,1,1,0
"08-1936","tt0026529","The Informer",NA,7.4,7015,6,2,4
"08-1936","tt0026571","King of Burlesque",NA,6.2,223,1,1,0
"08-1936","tt0026643","The Lives of a Bengal Lancer",NA,7,3189,7,6,1
"08-1936","tt0026654","Love Me Forever",NA,6,142,1,1,0
"08-1936","tt0026714","A Midsummer Night's Dream",NA,6.8,3832,4,2,2
"08-1936","tt0026725","Les Misérables",NA,7.7,3861,4,4,0
"08-1936","tt0026752","Mutiny on the Bounty",7,7.6,24460,6,5,1
"08-1936","tt0026768","Naughty Marietta",NA,6.5,1497,2,1,1
"08-1936","tt0026803","Oh, My Nerves",NA,5,15,1,1,0
"08-1936","tt0026866","Peter Ibbetson",NA,6.9,2520,1,1,0
"08-1936","tt0026893","Private Worlds",NA,6.4,385,1,1,0
"08-1936","tt0026942","Roberta",NA,7,3601,1,1,0
"08-1936","tt0026955","Ruggles of Red Gap",NA,7.6,4438,1,1,0
"08-1936","tt0026970","The Scoundrel",NA,6.2,425,1,0,1
"08-1936","tt0026983","She",6,6.4,1860,1,1,0
"08-1936","tt0027088","Thanks a Million",NA,6.3,268,1,1,0
"08-1936","tt0027100","Three Orphan Kittens",5,6.8,1278,1,0,1
"08-1936","tt0027113","Tit for Tat",8,7.5,2435,1,1,0
"08-1936","tt0027125","Top Hat",6,7.7,20415,4,4,0
"08-1936","tt0027212","Who Killed Cock Robin?",6,6.9,859,1,1,0
"09-1937","tt0026880","Popular Science",NA,4.7,15,1,1,0
"09-1937","tt0027075","A Tale of Two Cities",NA,7.8,6181,2,2,0
"09-1937","tt0027260","After the Thin Man",NA,7.6,11923,1,1,0
"09-1937","tt0027300","Anthony Adverse",NA,6.3,1975,7,3,4
"09-1937","tt0027331","Banjo on My Knee",NA,6.2,658,1,1,0
"09-1937","tt0027385","Bored of Education",5,6.9,353,1,0,1
"09-1937","tt0027387","Born to Dance",NA,6.7,1886,2,2,0
"09-1937","tt0027413","Cain and Mabel",NA,6.4,2050,1,1,0
"09-1937","tt0027438","The Charge of the Light Brigade",NA,7,5373,3,2,1
"09-1937","tt0027459","Come and Get It",6,6.9,2295,2,1,1
"09-1937","tt0027468","The Country Cousin",NA,6.8,1637,1,0,1
"09-1937","tt0027496","Dancing Pirate",NA,5.1,377,1,1,0
"09-1937","tt0027532","Dodsworth",7,7.8,9957,7,6,1
"09-1937","tt0027556","Dummy Ache",NA,5.7,46,1,1,0
"09-1937","tt0027616","La Fiesta de Santa Barbara",NA,5.9,312,1,1,0
"09-1937","tt0027652","Fury",8,7.8,13507,1,1,0
"09-1937","tt0027657","The Garden of Allah",NA,5.8,1671,2,2,0
"09-1937","tt0027664","The General Died at Dawn",NA,6.5,1326,3,3,0
"09-1937","tt0027665","General Spanky",NA,5.9,427,1,1,0
"09-1937","tt0027678","Give Me Liberty",NA,6.1,257,1,0,1
"09-1937","tt0027686","Gold Diggers of 1937",NA,6.4,1191,1,1,0
"09-1937","tt0027690","The Gorgeous Hussy",NA,5.6,1354,2,2,0
"09-1937","tt0027698","The Great Ziegfeld",NA,6.6,8812,7,4,3
"09-1937","tt0027869","The Last of the Mohicans",NA,6.6,1587,1,1,0
"09-1937","tt0027884","Libeled Lady",NA,7.8,8746,1,1,0
"09-1937","tt0027902","Lloyd's of London",NA,6.9,1186,2,2,0
"09-1937","tt0027930","The Magnificent Brute",NA,5.8,69,1,1,0
"09-1937","tt0027988","Moscow Moods",NA,7.5,14,1,1,0
"09-1937","tt0027996","Mr. Deeds Goes to Town",NA,7.8,22855,5,4,1
"09-1937","tt0028010","My Man Godfrey",8,7.9,26000,6,6,0
"09-1937","tt0028057","The Old Mill Pond",2,5.6,322,1,1,0
"09-1937","tt0028063","One in a Million",NA,6,328,1,1,0
"09-1937","tt0028092","Pennies from Heaven",NA,6.5,779,1,1,0
"09-1937","tt0028103","Pigskin Parade",NA,6.1,775,1,1,0
"09-1937","tt0028119","Popeye the Sailor Meets Sindbad the Sailor",NA,7.3,3891,1,1,0
"09-1937","tt0028146","The Public Pays",NA,6.3,252,1,0,1
"09-1937","tt0028203","Romeo and Juliet",NA,6.5,2179,4,4,0
"09-1937","tt0028216","San Francisco",NA,7.2,6017,6,5,1
"09-1937","tt0028255","Sing, Baby, Sing",NA,5.8,144,1,1,0
"09-1937","tt0028313","The Story of Louis Pasteur",NA,7.3,3057,4,1,3
"09-1937","tt0028330","Suzy",NA,6.4,1691,1,1,0
"09-1937","tt0028333","Swing Time",NA,7.5,14422,2,1,1
"09-1937","tt0028352","The Texas Rangers",NA,6.6,822,1,1,0
"09-1937","tt0028354","That Girl from Paris",NA,5.7,367,1,1,0
