"AwardType","Films","Films.Y","Films.N","Winner.Y","Winner.N","Winner.Per","Nominee.Y","Nominee.N","Nominee.Per","On.Prime.Free","Prime.Free.Y","Prime.Free.N","Prime.Free.Per","On.Prime.Rental","Prime.Rental.Y","Prime.Rental.N","Prime.Rental.Per"
"Animated",93,91,2,23,NA,NA,69,2,0.97,1,1,1,1,1,1,1,1
"Director",238,148,90,80,22,0.78,69,69,0.5,20,16,5,0.8,18,8,11,0.44
"Documentary",382,43,339,16,71,0.18,28,269,0.09,11,4,8,0.36,23,2,22,0.09
"Effects",712,357,355,146,75,0.66,212,281,0.43,40,35,6,0.88,19,5,15,0.26
"International",333,44,289,25,44,0.36,20,246,0.08,11,3,9,0.27,10,1,10,0.1
"Music",936,326,610,123,89,0.58,204,522,0.28,27,16,12,0.59,25,7,19,0.28
"Performance",991,466,525,209,119,0.64,258,407,0.39,66,47,20,0.71,68,18,51,0.26
"Picture",265,175,90,80,18,0.82,96,73,0.57,20,18,3,0.9,23,10,14,0.43
"Short",1230,230,1000,68,223,0.23,163,778,0.17,4,2,3,0.5,26,10,17,0.38
"Visual Style",960,363,597,165,105,0.61,199,493,0.29,33,23,11,0.7,36,11,26,0.31
"Writing",718,350,368,140,62,0.69,211,307,0.41,37,31,7,0.84,56,20,37,0.36
