"AwardCeremony","FilmID","FilmName","Year","Rated","Runtime","Genre","Director","Writer","Actors","Plot","Language","Country","Awards","Poster","Metascore","imdbRating","imdbVotes","imdbID","Type","totalSeasons","Season","Episode","seriesID","IMDb","Metacritic","RottenTomatoes","Rating","Rated.Date","Service","AFISilver","Theater","Watchlist","Nominations","Losses","Wins"
"01-1929","tt0017743","Chang: A Drama of the Wilderness",1927,"Passed","69 min","Documentary, Adventure, Drama","Merian C. Cooper, Ernest B. Schoedsack","Achmed Abdullah, Merian C. Cooper, Ernest B. Schoedsack","Kru, Chantui, Nah","A snapshot of life in the jungles of Northern Siam.","None","United States","Nominated for 1 Oscar. 1 win & 1 nomination total","https://m.media-amazon.com/images/M/MV5BMGMzZmQ4MWQtZWZkOS00Nzg5LTgwODItYmU0MTFhMzBjZjkwXkEyXkFqcGdeQXVyMzg1ODEwNQ@@._V1_SX300.jpg","N/A","6.9","973","tt0017743","movie",NA,NA,NA,NA,"6.9/10",NA,"94%",NA,NA,NA,NA,NA,"Y",1,1,0
"01-1929","tt0017806","The Devil Dancer",1927,"Passed","73 min","Drama, Romance","Fred Niblo","Harry Hervey, Alice D.G. Miller, Edwin Justus Mayer","Gilda Gray, Clive Brook, Anna May Wong","An English explorer disturbed by the practices of an isolated tribe attempts to rescue a native girl he has become fascinated with.","English","United States","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BMjAxZjA5ZmUtNjBjZi00MDJhLTk1MDYtNTRjZGI5Y2E2ZjhjXkEyXkFqcGdeQXVyMTcyODY2NDQ@._V1_SX300.jpg","N/A","6.2","51","tt0017806","movie",NA,NA,NA,NA,"6.2/10",NA,NA,NA,NA,NA,NA,NA,"Y",1,1,0
"01-1929","tt0017822","The Dove",1927,"Passed","90 min","Adventure, Drama, Romance","Roland West","Willard Mack, Wallace Smith, Roland West","Norma Talmadge, Noah Beery, Gilbert Roland","A despot falls for a dancing girl. After she rejects him, he has her other beau framed for murder.","English","United States","Won 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BYzVlYjZiYjgtYTFkMS00YThmLTk5YmMtYjc5YTFjZjM3YzAwXkEyXkFqcGdeQXVyNjcwNzI5MTM@._V1_SX300.jpg","N/A","6.7","80","tt0017822","movie",NA,NA,NA,NA,"6.7/10",NA,"67%",NA,NA,NA,NA,NA,"Y",1,0,1
"01-1929","tt0017979","The Private Life of Helen of Troy",1927,"Passed","87 min","Action, Adventure, Comedy","Alexander Korda","John Erskine, Robert E. Sherwood, Carey Wilson","María Corda, Lewis Stone, Ricardo Cortez","Queen Helen of Troy, in response to her husband Menelaus' lack of interest in her, elopes with Paris to Sparta. Menelaus, egged on by his henchman, starts a war with Paris, finally effecting the return of Helen. The time-honored cust","None","United States","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BYzFjZmM2NGEtNzZkMC00MzMwLWI0YTktOTZmZTBhMDUzZjdlXkEyXkFqcGdeQXVyMTcyODY2NDQ@._V1_SX300.jpg","N/A","5.9","76","tt0017979","movie",NA,NA,NA,NA,"5.9/10",NA,"81%",NA,NA,NA,NA,NA,"Y",1,1,0
"01-1929","tt0018037","The Jazz Singer",1927,"Unrated","88 min","Drama, Music, Musical","Alan Crosland","Samson Raphaelson, Alfred A. Cohn, Jack Jarmuth","Al Jolson, May McAvoy, Warner Oland","The son of a Jewish Cantor must defy the traditions of his religious father in order to pursue his dream of becoming a jazz singer.","English","United States","Won 1 Oscar. 3 wins & 1 nomination total","https://m.media-amazon.com/images/M/MV5BOTUxNTk0MjEtZjQ5Yi00ODBhLTlkY2YtMDJhOWZmNDM1YWJkXkEyXkFqcGdeQXVyNjE5MjUyOTM@._V1_SX300.jpg","66","6.5","9,764","tt0018037","movie",NA,NA,NA,NA,"6.5/10","66/100","78%",4,"2023-01-09","Prime Rentals",NA,NA,NA,1,1,0
"01-1929","tt0018129","The Magic Flame",1927,"Passed","100 min","Drama, Romance","Henry King","Rudolph Lothar, Bess Meredyth, Nellie Revell","Ronald Colman, Vilma Bánky, Agostino Borgato","A love triangle involving two members of a travelling circus and an aristocrat has serious consequences for all three individuals.","English","United States","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BNzI0M2Q2ZTQtMmFlYy00MDc4LWJkYjAtOTUzYmE4NzRlNDQ4XkEyXkFqcGdeQXVyNDY1NzU5NjY@._V1_SX300.jpg","N/A","5.0","48","tt0018129","movie",NA,NA,NA,NA,"5.0/10",NA,NA,NA,NA,NA,NA,NA,"Y",1,1,0
"01-1929","tt0018253","The Patent Leather Kid",1927,"N/A","150 min","Drama, Romance, Sport","Alfred Santell","Gerald C. Duffy, Winifred Dunn, Rupert Hughes","Richard Barthelmess, Molly O'Day, Lawford Davidson","A boxer has difficulty balancing his sport with a budding romance; both are further jeopardized when the United States enters the first World War.","None, English","United States","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BMjI4YTQ3MTItYTgzNy00YmJiLWExNTktMGIyNTVhMGY1ODQyL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMjUxODE0MDY@._V1_SX300.jpg","N/A","5.9","534","tt0018253","movie",NA,NA,NA,NA,"5.9/10",NA,NA,NA,NA,NA,NA,NA,"Y",1,1,0
"01-1929","tt0018379","7th Heaven",1927,"Not Rated","110 min","Drama, Romance","Frank Borzage","Austin Strong, Benjamin Glazer, Katherine Hilliker","Janet Gaynor, Charles Farrell, Ben Bard","A street cleaner saves a young woman's life, and the pair slowly fall in love until war intervenes.","None, English","United States","Won 3 Oscars. 6 wins & 2 nominations total","https://m.media-amazon.com/images/M/MV5BMTk2MjUzMzk3OV5BMl5BanBnXkFtZTcwOTk1MjQxMw@@._V1_SX300.jpg","N/A","7.7","3,527","tt0018379","movie",NA,NA,NA,NA,"7.7/10",NA,"100%",9,"2022-02-07",NA,NA,NA,NA,5,2,3
"01-1929","tt0018389","A Ship Comes In",1928,"N/A","70 min","Drama","William K. Howard","Julien Josephson, John W. Krafft, Sonya Levien","Rudolph Schildkraut, Louise Dresser, Milton Holmes","An immigrant family experiences life in the United States.","None","United States","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BY2M3NTIzMjEtMjczMS00NTNhLTk4OTMtM2FiYzE2NWM3NDk2XkEyXkFqcGdeQXVyMjYzMDY1NTg@._V1_SX300.jpg","N/A","5.6","175","tt0018389","movie",NA,NA,NA,NA,"5.6/10",NA,NA,NA,NA,NA,NA,NA,"Y",1,1,0
"01-1929","tt0018429","Sorrell and Son",1927,"N/A","100 min","Drama","Herbert Brenon","Warwick Deeping, Herbert Brenon, Elizabeth Meehan","H.B. Warner, Anna Q. Nilsson, Mickey McBan","Stephen Sorrell, a decorated war hero, raises his son Kit alone after Kit's mother deserts husband and child in the boy's infancy. Sorrell loses a promising job offer and is forced to take work as a menial. Both his dignity and his h","English","United States","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BM2Y2NzhmMmYtMDU4OC00ZTE3LTk2MTgtZjE3ZjM5ODQyNjc0XkEyXkFqcGdeQXVyMjUxODE0MDY@._V1_SX300.jpg","N/A","6.2","68","tt0018429","movie",NA,NA,NA,NA,"6.2/10",NA,NA,NA,NA,NA,NA,NA,"Y",1,1,0
