"AwardCategory","AwardWinner","AwardCeremony","FilmID","FilmName","PersonID","PersonName","CompanyID","CompanyName","AwardType","Your.Rating","IMDb.Rating","Num.Votes"
"Best Actor in a Leading Role","Winner","01-1929","tt0019071","The Last Command","nm0417837","Emil Jannings",NA,NA,"Performance",NA,8,4458
"Best Actor in a Leading Role","Winner","01-1929","tt0019553","The Way of All Flesh","nm0417837","Emil Jannings",NA,NA,"Performance",NA,6.7,220
"Best Actor in a Leading Role",NA,"01-1929","tt0018253","The Patent Leather Kid","nm0001932","Richard Barthelmess",NA,NA,"Performance",NA,6.1,591
"Best Actor in a Leading Role",NA,"01-1929","tt0019217","The Noose","nm0001932","Richard Barthelmess",NA,NA,"Performance",NA,6.7,85
"Best Actress in a Leading Role","Winner","01-1929","tt0018379","7th Heaven","nm0310980","Janet Gaynor",NA,NA,"Performance",9,7.6,4097
"Best Actress in a Leading Role","Winner","01-1929","tt0019429","Street Angel","nm0310980","Janet Gaynor",NA,NA,"Performance",NA,7.3,2537
"Best Actress in a Leading Role","Winner","01-1929","tt0018455","Sunrise","nm0310980","Janet Gaynor",NA,NA,"Performance",9,8.1,53498
"Best Actress in a Leading Role",NA,"01-1929","tt0019344","Sadie Thompson","nm0841797","Gloria Swanson",NA,NA,"Performance",NA,7.2,2800
"Best Actress in a Leading Role",NA,"01-1929","tt0018389","A Ship Comes In","nm0237571","Louise Dresser",NA,NA,"Performance",NA,5.5,204
"Best Art Direction","Winner","01-1929","tt0019451","Tempest","nm0580017","William Cameron Menzies",NA,NA,"Visual Style",NA,6.7,508
"Best Art Direction","Winner","01-1929","tt0017822","The Dove","nm0580017","William Cameron Menzies",NA,NA,"Visual Style",NA,6.4,98
"Best Art Direction",NA,"01-1929","tt0018379","7th Heaven","nm0646856","Harry Oliver",NA,NA,"Visual Style",9,7.6,4097
"Best Art Direction",NA,"01-1929","tt0018455","Sunrise","nm0322843","Rochus Gliese",NA,NA,"Visual Style",9,8.1,53498
"Best Cinematography","Winner","01-1929","tt0018455","Sunrise","nm0003546","Charles Rosher",NA,NA,"Visual Style",9,8.1,53498
"Best Cinematography","Winner","01-1929","tt0018455","Sunrise","nm0835365","Karl Struss",NA,NA,"Visual Style",9,8.1,53498
"Best Cinematography",NA,"01-1929","tt0019344","Sadie Thompson","nm0055604","George Barnes",NA,NA,"Visual Style",NA,7.2,2800
"Best Cinematography",NA,"01-1929","tt0017806","The Devil Dancer","nm0055604","George Barnes",NA,NA,"Visual Style",NA,4.9,63
"Best Cinematography",NA,"01-1929","tt0018129","The Magic Flame","nm0055604","George Barnes",NA,NA,"Visual Style",NA,4.6,61
"Best Director, Comedy Picture","Winner","01-1929","tt0018515","Two Arabian Knights","nm0587277","Lewis Milestone",NA,NA,"Director",7,6.7,1123
"Best Director, Comedy Picture",NA,"01-1929","tt0019412","Speedy","nm0928514","Ted Wilde",NA,NA,"Director",7,7.6,4210
"Best Director, Dramatic Picture","Winner","01-1929","tt0018379","7th Heaven","nm0097648","Frank Borzage",NA,NA,"Director",9,7.6,4097
"Best Director, Dramatic Picture",NA,"01-1929","tt0018429","Sorrell and Son","nm0107543","Herbert Brenon",NA,NA,"Director",NA,5.8,80
"Best Director, Dramatic Picture",NA,"01-1929","tt0018806","The Crowd","nm0896542","King Vidor",NA,NA,"Director",7,8.1,9040
"Best Effects, Engineering Effects","Winner","01-1929","tt0018578","Wings","nm0690120","Roy Pomeroy",NA,NA,"Effects",8,7.5,14290
"Best Effects, Engineering Effects",NA,"01-1929",NA,NA,"nm0805521","Nugent Slaughter",NA,NA,"Effects",NA,NA,NA
"Best Effects, Engineering Effects",NA,"01-1929",NA,NA,"nm0358518","Ralph Hammeras",NA,NA,"Effects",NA,NA,NA
