"ItemTitle","IMDBid","Rating","Rated.Date","Title","Year","Rated","Released","Runtime","Genre","Director","Writer","Actors","Plot","Language","Country","Awards","Poster","Metascore","imdbRating","imdbVotes","imdbID","Type","DVD","BoxOffice","Production","Website","totalSeasons","Internet Movie Database","Metacritic","Rotten Tomatoes","Rated.Year"
"Woodstock","tt0066580",8,2023-06-29,"Woodstock","1970","R",1970,"184 min","Documentary, History, Music","Michael Wadleigh","N/A","Joan Baez, Richie Havens, Roger Daltrey","Oscar-winning musical chronicle that brilliantly captures the three-day rock concert and celebration of peace and love that became a capstone for the Sixties.","English","United States","Won 1 Oscar. 2 wins & 2 nominations total","https://m.media-amazon.com/images/M/MV5BN2EwY2M3YzQtNTNhYS00ZTdjLTk0MTMtMTBhNzdjM2MxODllXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_SX300.jpg","95","8.1",NA,"tt0066580","movie","09 Jun 2009","$126,562","N/A","N/A",NA,"8.1/10","95/100","100%",2023.18
"Unforgiven","tt0105695",7,2023-06-29,"Unforgiven","1992","R",1992,"130 min","Drama, Western","Clint Eastwood","David Webb Peoples","Clint Eastwood, Gene Hackman, Morgan Freeman","Retired Old West gunslinger William Munny reluctantly takes on one last job, with the help of his old partner Ned Logan and a young man, The ""Schofield Kid.""","English","United States","Won 4 Oscars. 50 wins & 47 nominations total","https://m.media-amazon.com/images/M/MV5BODM3YWY4NmQtN2Y3Ni00OTg0LWFhZGQtZWE3ZWY4MTJlOWU4XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg","85","8.2",NA,"tt0105695","movie","30 Oct 2001","$101,167,799","N/A","N/A",NA,"8.2/10","85/100","96%",2023.18
"Scatter My Ashes at Bergdorf's","tt1893326",3,2023-06-29,"Scatter My Ashes at Bergdorf's","2013","PG-13",2013,"93 min","Documentary","Matthew Miele","Matthew Miele","Rachel Zoe, Candice Bergen, Ashley Olsen","A documentary on the Manhattan department store with interviews from an array of fashion designers, style icons, and celebrities.","English","United States","N/A","https://m.media-amazon.com/images/M/MV5BMjI3MjQwNTU4Ml5BMl5BanBnXkFtZTcwNjcyODUzOQ@@._V1_SX300.jpg","55","6.3",886,"tt1893326","movie","27 Aug 2013","$518,342","N/A","N/A",NA,"6.3/10","55/100","48%",2023.18
"Always at The Carlyle","tt4151320",5,2023-06-29,"Always at The Carlyle","2018","PG-13",2019,"92 min","Documentary","Matthew Miele","Matthew Miele","Woody Allen, Herb Alpert, Wes Anderson","The iconic Carlyle hotel has been an international destination for a particular jet-set as well as a favorite haunt of the most discernible New Yorkers.","English","United States","N/A","https://m.media-amazon.com/images/M/MV5BMmU0YjI5ODMtYzRmMC00NzRlLWE3NzEtMzE3MzkwYzVjNmU3XkEyXkFqcGdeQXVyMTI4Mjg4MjA@._V1_SX300.jpg","49","6.4",787,"tt4151320","movie","10 Aug 2018","$174,251","N/A","N/A",NA,"6.4/10","49/100","58%",2023.18
"In & Out","tt0119360",4,2023-06-29,"In & Out","1997","PG-13",1997,"90 min","Comedy, Romance","Frank Oz","Paul Rudnick","Kevin Kline, Joan Cusack, Tom Selleck","A midwestern teacher questions his sexuality after a former student makes a comment about him at the Academy Awards.","English","United States","Nominated for 1 Oscar. 7 wins & 18 nominations total","https://m.media-amazon.com/images/M/MV5BNDZkMjVhZmItMmIyNC00OWYyLWFmZWQtMzIzZWZhY2QyMjZiXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg","70","6.4",NA,"tt0119360","movie","24 Sep 2013","$63,856,929","N/A","N/A",NA,"6.4/10","70/100","73%",2023.18
"Mildred Pierce","tt0037913",9,2023-06-29,"Mildred Pierce","1945","Approved",1945,"111 min","Crime, Drama, Film-Noir","Michael Curtiz","Ranald MacDougall, James M. Cain, William Faulkner","Joan Crawford, Jack Carson, Zachary Scott","A hard-working mother inches towards disaster as she divorces her husband and starts a successful restaurant business to support her spoiled daughter.","English, French","United States","Won 1 Oscar. 3 wins & 6 nominations total","https://m.media-amazon.com/images/M/MV5BNzljY2U2MDItYWE3Yi00OWE3LWEyMjQtMGNkZmJjNDE0NDJjXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg","88","7.9",NA,"tt0037913","movie","14 Jun 2005","N/A","N/A","N/A",NA,"7.9/10","88/100","88%",2023.18
"Chile '76","tt19758012",8,2023-06-28,"Chile '76","2022","N/A",2023,"95 min","Drama","Manuela Martelli","Manuela Martelli, Alejandra Moffat","Aline Küppenheim, Nicolás Sepúlveda, Hugo Medina","Chile, 1976. Carmen heads off to her beach house. When the family priest asks her to take care of a young man he is sheltering in secret, Carmen steps onto unexplored territories, away from the quiet life she is used to.","Spanish","Chile, Argentina, Qatar","5 wins & 13 nominations","https://m.media-amazon.com/images/M/MV5BZDFkOTI0ODAtOTYyOS00NTJiLTlmZDUtNGQ5Y2U0NGY4NjU5XkEyXkFqcGdeQXVyMjI3NDAyNg@@._V1_SX300.jpg","78","6.6",NA,"tt19758012","movie","11 Jul 2023","$117,097","N/A","N/A",NA,"6.6/10","78/100","93%",2023.179
"Bugsy","tt0101516",5,2023-06-27,"Bugsy","1991","R",1991,"136 min","Biography, Crime, Drama","Barry Levinson","James Toback, Dean Jennings","Warren Beatty, Annette Bening, Harvey Keitel","The story of how Benjamin ""Bugsy"" Siegel started Las Vegas.","English","United States","Won 2 Oscars. 12 wins & 41 nominations total","https://m.media-amazon.com/images/M/MV5BZTQ4NmZjMTktMWU1MC00ZGU1LTk1NjUtODg2ODg3NjdmMDkxXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_SX300.jpg","80","6.8",NA,"tt0101516","movie","10 Jan 2006","$49,114,016","N/A","N/A",NA,"6.8/10","80/100","84%",2023.178
"Roman J. Israel, Esq.","tt6000478",7,2023-06-27,"Roman J. Israel, Esq.","2017","PG-13",2017,"122 min","Crime, Drama, Thriller","Dan Gilroy","Dan Gilroy","Denzel Washington, Colin Farrell, Carmen Ejogo","Roman J. Israel, Esq., a driven, idealistic defense attorney, finds himself in a tumultuous series of events that lead to a crisis and the necessity for extreme action.","English, Spanish, Armenian","Canada, United Arab Emirates, United States","Nominated for 1 Oscar. 2 wins & 11 nominations total","https://m.media-amazon.com/images/M/MV5BNjE5OGUwNTMtNzI2Mi00M2FkLWEzMDUtMDYxMGUyNzQwMDc4XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg","58","6.5",NA,"tt6000478","movie","13 Feb 2018","$11,962,778","N/A","N/A",NA,"6.5/10","58/100","54%",2023.178
"Normal People","tt9059760",9,2023-06-27,"Normal People","2020","TV-14",2020,"339 min","Drama, Romance","N/A","N/A","Daisy Edgar-Jones, Paul Mescal, Desmond Eastwood","Follows Marianne and Connell, from different backgrounds but the same small town in Ireland, as they weave in and out of each other's romantic lives.","English","Ireland, United Kingdom, United States","Nominated for 4 Primetime Emmys. 17 wins & 53 nominations total","https://m.media-amazon.com/images/M/MV5BNzMzYmRiNGEtMDg5OC00OGZmLWFmNDktYzRlZTFkZmZiMjAzXkEyXkFqcGdeQXVyMTE2OTE2MzE1._V1_SX300.jpg","N/A","8.4",NA,"tt9059760","series",NA,NA,NA,NA,"1","8.4/10",NA,NA,2023.178
"45 Years","tt3544082",9,2023-06-26,"45 Years","2015","R",2015,"95 min","Drama, Romance","Andrew Haigh","Andrew Haigh, David Constantine","Charlotte Rampling, Tom Courtenay, Geraldine James","A married couple preparing to celebrate their wedding anniversary receives shattering news that promises to forever change the course of their lives.","English","United Kingdom","Nominated for 1 Oscar. 21 wins & 62 nominations total","https://m.media-amazon.com/images/M/MV5BMTgxMTQ4NzMyN15BMl5BanBnXkFtZTgwODA0MTgyNzE@._V1_SX300.jpg","94","7.1",NA,"tt3544082","movie","14 Jun 2016","$4,247,285","N/A","N/A",NA,"7.1/10","94/100","97%",2023.177
"Howards End","tt0104454",7,2023-06-25,"Howards End","1992","PG",1993,"142 min","Drama, Romance","James Ivory","E.M. Forster, Ruth Prawer Jhabvala","Anthony Hopkins, Emma Thompson, Vanessa Redgrave","A businessman thwarts his wife's bequest of an estate to another woman.","English, German","United Kingdom, Japan, United States","Won 3 Oscars. 32 wins & 49 nominations total","https://m.media-amazon.com/images/M/MV5BMTk3MDY3NDc2NF5BMl5BanBnXkFtZTgwODcwNjgzOTE@._V1_SX300.jpg","88","7.4",NA,"tt0104454","movie","03 Nov 2009","$26,126,837","N/A","N/A",NA,"7.4/10","88/100","94%",2023.176
