"ItemTitle","IMDBid","Rating","Rated.Date"
"Saving Face","tt2140371","8","Rated on 31 Dec 2022"
"Buzkashi Boys","tt2133304","6","Rated on 31 Dec 2022"
"Fresh Guacamole","tt2309977","6","Rated on 31 Dec 2022"
"Boogaloo and Graham","tt3612232","7","Rated on 31 Dec 2022"
"Mona Lisa Descending a Staircase","tt0104908","5","Rated on 31 Dec 2022"
"The Sandman","tt0105311","10","Rated on 31 Dec 2022"
"Manipulation","tt0102392","5","Rated on 31 Dec 2022"
"12:01 PM","tt0098962","9","Rated on 31 Dec 2022"
"What on Earth!","tt0062353","8","Rated on 31 Dec 2022"
"Paddle to the Sea","tt0060810","6","Rated on 31 Dec 2022"
"The Drag","tt0060346","3","Rated on 31 Dec 2022"
"Eskimo Artist: Kenojuak","tt0058260","7","Rated on 31 Dec 2022"
"Universe","tt0054429","7","Rated on 31 Dec 2022"
"The Living Stone","tt0051872","6","Rated on 31 Dec 2022"
"City of Gold","tt0050255","5","Rated on 31 Dec 2022"
"A Chairy Tale","tt0050534","8","Rated on 31 Dec 2022"
"The Stratford Adventure","tt0047530","4","Rated on 31 Dec 2022"
"Herring Hunt","tt0045858","4","Rated on 31 Dec 2022"
"The Romance of Transportation in Canada","tt0045100","3","Rated on 31 Dec 2022"
"The Fight: Science Against Cancer","tt0042460","5","Rated on 31 Dec 2022"
"The Rising Tide","tt0041813","3","Rated on 31 Dec 2022"
"High Over the Borders","tt0034851","5","Rated on 31 Dec 2022"
"Inside Fighting China","tt0034897","3","Rated on 31 Dec 2022"
"Churchill's Island","tt0033466","4","Rated on 31 Dec 2022"
"Warclouds in the Pacific","tt0034372","8","Rated on 31 Dec 2022"
"When the Day Breaks","tt0200282","5","Rated on 31 Dec 2022"
"Strange Invaders","tt0296874","4","Rated on 31 Dec 2022"
"Ryan","tt0414469","8","Rated on 31 Dec 2022"
"Wild Life","tt2097943","6","Rated on 31 Dec 2022"
"Fauve","tt7467476","9","Rated on 31 Dec 2022"
"Bujaeui gieok","tt9464764","8","Rated on 30 Dec 2022"
"Feeling Through","tt9280166","7","Rated on 30 Dec 2022"
"Walk Run Cha-Cha","tt10182854","5","Rated on 30 Dec 2022"
"Lost & Found","tt8589236","7","Rated on 30 Dec 2022"
"Brotherhood","tt8906678","6","Rated on 30 Dec 2022"
"Negative Space","tt7090150","8","Rated on 30 Dec 2022"
"Six Shooter","tt0425458","6","Rated on 30 Dec 2022"
