Ceremony,Ceremony.Year,AwardCeremony,AwardCategory,Note,FilmID,FilmName,PersonID,PersonName,GeneralizedCategory
1,1929,001-1929,Top Foreign Films,NA,tt0019649,Arsenal,NA,NA,International
1,1929,001-1929,Top Foreign Films,NA,tt0018990,Homecoming,NA,NA,International
1,1929,001-1929,Top Foreign Films,NA,tt0018217,October (Ten Days that Shook the World),NA,NA,International
1,1929,001-1929,Top Foreign Films,NA,tt0020269,Piccadilly,NA,NA,International
1,1929,001-1929,Top Foreign Films,NA,tt0019254,The Passion of Joan of Arc,NA,NA,International
1,1929,001-1929,Top Ten Films,NA,tt0019644,Applause,NA,NA,Top Films
1,1929,001-1929,Top Ten Films,NA,tt0019725,Broadway,NA,NA,Top Films
1,1929,001-1929,Top Ten Films,NA,tt0019735,Bulldog Drummond,NA,NA,Top Films
1,1929,001-1929,Top Ten Films,NA,tt0019823,Disraeli,NA,NA,Top Films
1,1929,001-1929,Top Ten Films,NA,tt0019959,Hallelujah,NA,NA,Top Films
1,1929,001-1929,Top Ten Films,NA,tt0020258,Paris Bound,NA,NA,Top Films
1,1929,001-1929,Top Ten Films,NA,tt0019754,The Case of Lena Smith,NA,NA,Top Films
1,1929,001-1929,Top Ten Films,NA,tt0020092,The Letter,NA,NA,Top Films
1,1929,001-1929,Top Ten Films,NA,tt0020112,The Love Parade,NA,NA,Top Films
1,1929,001-1929,Top Ten Films,NA,tt0020543,The Valiant,NA,NA,Top Films
2,1930,002-1930,Top Foreign Films,NA,tt0021571,Earth,NA,NA,International
2,1930,002-1930,Top Foreign Films,NA,tt0018996,High Treason,NA,NA,International
2,1930,002-1930,Top Foreign Films,NA,tt0020451,Old and New,NA,NA,International
2,1930,002-1930,Top Foreign Films,NA,tt0019286,Storm Over Asia,NA,NA,International
2,1930,002-1930,Top Foreign Films,NA,tt0021572,Zwei Herzen im Dreiviertel-Takt,NA,NA,International
2,1930,002-1930,Top Ten Films,NA,tt0020629,All Quiet on the Western Front,NA,NA,Top Films
2,1930,002-1930,Top Ten Films,NA,tt0020985,Holiday,NA,NA,Top Films
2,1930,002-1930,Top Ten Films,NA,tt0021053,Laughter,NA,NA,Top Films
2,1930,002-1930,Top Ten Films,NA,tt0021140,Men Without Women,NA,NA,Top Films
